method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1,delta_MRR
CLAP,91.10000000,96.75000000,97.65000000,94.10549431,0.00000000,0.00000000
iKnow-K5-M1,89.65000000,96.90000000,97.65000000,93.47299431,-1.45000000,-0.63250000
iKnow-K5-M3,91.30000000,96.85000000,97.65000000,94.29716098,0.20000000,0.19166667
iKnow-K5-M5,90.15000000,96.85000000,97.65000000,93.70882764,-0.95000000,-0.39666667
iKnow-K10-M1,89.50000000,96.90000000,97.65000000,93.30267505,-1.60000000,-0.80281926
iKnow-K10-M3,91.05000000,96.80000000,97.60000000,94.14908197,-0.05000000,0.04358766
iKnow-K10-M5,89.60000000,96.85000000,97.45000000,93.36993695,-1.50000000,-0.73555736
iKnow-K15-M1,89.30000000,97.80000000,98.95000000,93.59005401,-1.80000000,-0.51544030
iKnow-K15-M3,90.80000000,98.00000000,98.90000000,94.51232845,-0.30000000,0.40683414
iKnow-K15-M5,89.35000000,97.85000000,98.80000000,93.65677289,-1.75000000,-0.44872142
