method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1,delta_MRR
CLAP,83.60054970,96.53000458,98.64864865,90.31387471,0.00000000,0.00000000
iKnow-K5-M1,84.89464040,96.91937700,98.64864865,91.03287761,1.29409070,0.71900290
iKnow-K5-M3,84.65414567,96.85066422,98.66010078,90.98916865,1.05359597,0.67529394
iKnow-K5-M5,83.92120934,96.79340357,98.64864865,90.58090021,0.32065964,0.26702550
iKnow-K10-M1,84.87173614,96.66743014,98.84333486,91.01645835,1.27118644,0.70258364
iKnow-K10-M3,84.55107650,96.65597801,98.66010078,90.88290470,0.95052680,0.56902999
iKnow-K10-M5,83.74942739,96.43838754,98.57993587,90.39820238,0.14887769,0.08432767
iKnow-K15-M1,84.87173614,96.66743014,98.84333486,91.01645835,1.27118644,0.70258364
iKnow-K15-M3,84.55107650,96.65597801,98.66010078,90.88290470,0.95052680,0.56902999
iKnow-K15-M5,83.74942739,96.43838754,98.57993587,90.39820238,0.14887769,0.08432767
