method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1,delta_MRR
CLAP,57.67764637,79.68917994,86.20858176,70.32276666,0.00000000,0.00000000
iKnow-K5-M1,58.73326166,80.27563288,86.50180823,71.15415679,1.05561529,0.83139013
iKnow-K5-M3,59.51519891,80.65682729,86.36496921,71.59636164,1.83755254,1.27359498
iKnow-K5-M5,59.08513342,80.49066562,86.48225980,71.33244726,1.40748705,1.00968060
iKnow-K10-M1,58.02951813,80.59818200,87.15668068,70.85300572,0.35187176,0.53023906
iKnow-K10-M3,58.97761705,80.95005376,87.26419705,71.36507033,1.29997068,1.04230367
iKnow-K10-M5,58.66484215,80.40269768,86.95142215,71.16852357,0.98719578,0.84575691
iKnow-K15-M1,57.72651745,80.67637572,87.35216499,70.69983201,0.04887108,0.37706535
iKnow-K15-M3,58.67461636,80.64705307,87.66493989,71.19054254,0.99696999,0.86777588
iKnow-K15-M5,58.29342195,80.37337504,87.11758381,70.95193896,0.61577558,0.62917230
