method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1,delta_MRR
CLAP,58.23389021,83.29355609,89.97613365,72.42557098,0.00000000,0.00000000
iKnow-K5-M1,58.94988067,84.72553699,90.45346062,72.76765531,0.71599045,0.34208433
iKnow-K5-M3,61.33651551,85.68019093,90.45346062,74.37067838,3.10262530,1.94510740
iKnow-K5-M5,60.85918854,85.68019093,90.45346062,74.18372532,2.62529833,1.75815434
iKnow-K10-M1,58.47255370,83.77088305,90.69212411,72.20291310,0.23866348,-0.22265788
iKnow-K10-M3,61.09785203,85.44152745,91.40811456,74.07234902,2.86396181,1.64677804
iKnow-K10-M5,60.38186158,84.96420048,91.64677804,73.72041509,2.14797136,1.29484411
iKnow-K15-M1,58.47255370,83.53221957,90.21479714,72.01719720,0.23866348,-0.40837378
iKnow-K15-M3,61.09785203,85.44152745,91.40811456,73.95815468,2.86396181,1.53258370
iKnow-K15-M5,60.38186158,84.72553699,91.64677804,73.51472447,2.14797136,1.08915349
