method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1,delta_MRR
CLAP,28.63111472,46.61405443,54.52910114,41.08651622,0.00000000,0.00000000
iKnow-K5-M1,28.70655138,47.08988568,54.69738293,41.20784209,0.07543666,0.12132587
iKnow-K5-M3,28.75297395,46.93901236,54.58712934,41.20384210,0.12185922,0.11732588
iKnow-K5-M5,28.47443858,46.93901236,54.61614345,41.07041553,-0.15667614,-0.01610069
iKnow-K10-M1,28.30035397,46.88098416,54.97011548,40.99006284,-0.33076075,-0.09645338
iKnow-K10-M3,28.27714269,46.24847676,54.63355191,40.78735763,-0.35397203,-0.29915859
iKnow-K10-M5,27.72587478,46.12081472,54.53490396,40.48684717,-0.90523995,-0.59966905
iKnow-K15-M1,28.19010039,46.87518134,55.07456624,40.94801841,-0.44101433,-0.13849780
iKnow-K15-M3,27.93477630,45.87709627,54.27957988,40.53946639,-0.69633842,-0.54704983
iKnow-K15-M5,27.32548018,45.77844833,54.08228399,40.15677546,-1.30563454,-0.92974076
