method,Hit@1,Hit@3,Hit@5,MRR,delta_Hit@1,delta_MRR
CLAP,40.42735043,75.21367521,91.79487179,60.38178951,0.00000000,0.00000000
iKnow-K5-M1,44.23076923,80.10683761,92.62820513,64.03522018,3.80341880,3.65343067
iKnow-K5-M3,45.29914530,80.94017094,92.35042735,64.69074521,4.87179487,4.30895570
iKnow-K5-M5,43.03418803,80.40598291,92.39316239,63.32473314,2.60683761,2.94294363
iKnow-K10-M1,44.05982906,79.74358974,93.20512821,63.93480593,3.63247863,3.55301643
iKnow-K10-M3,42.71367521,78.46153846,93.05555556,62.84267584,2.28632479,2.46088634
iKnow-K10-M5,39.72222222,78.33333333,90.21367521,60.63993954,-0.70512821,0.25815003
iKnow-K15-M1,44.01709402,79.65811966,92.90598291,63.85396263,3.58974359,3.47217313
iKnow-K15-M3,42.26495726,77.47863248,92.39316239,62.30344531,1.83760684,1.92165580
iKnow-K15-M5,39.20940171,77.32905983,88.58974359,59.90190988,-1.21794872,-0.47987963
