method,Hit@1,Hit@3,Hit@5,MRR
1st-P3,93.65,97.15,97.65,95.63549431018471
1st-P5,93.7,97.15,97.65,95.6604943101847
1st-P10,93.75,97.15,97.65,95.68549431018471
Fallback-M1-P5,93.65,97.15,97.65,95.62966097685137
AAKV-M1-P3,93.65,97.1,97.65,95.60632764351804
AAKV-M3-P3,93.60000000000001,97.05,97.65,95.56049431018471
AAKV-M5-P3,93.45,97.05,97.65,95.46049431018471
AAKV-M1-P5,93.60000000000001,97.1,97.65,95.5979943101847
AAKV-M3-P5,93.60000000000001,97.05,97.65,95.57716097685139
AAKV-M5-P5,93.45,97.05,97.65,95.46049431018471
AAKV-M1-P10,93.65,97.15,97.65,95.63549431018471
AAKV-M3-P10,93.65,97.1,97.65,95.62299431018471
AAKV-M5-P10,93.55,97.05,97.65,95.54382764351804
