method,Hit@1,Hit@3,Hit@5,MRR
1st-P3,86.05130554283097,96.90792487402658,98.64864864864865,91.67464680176545
1st-P5,86.05130554283097,96.89647274393037,98.64864864864865,91.67560114594012
1st-P10,86.01694915254238,96.90792487402658,98.64864864864865,91.65994990147533
Fallback-M1-P5,85.8909757214842,96.75904718277599,98.64864864864865,91.55592638643486
AAKV-M1-P3,85.97114063215759,96.7246907924874,98.64864864864865,91.59429102225712
AAKV-M3-P3,85.8566193311956,96.75904718277599,98.64864864864865,91.50057442430324
AAKV-M5-P3,86.10856619331196,96.7475950526798,98.64864864864865,91.62845654371078
AAKV-M1-P5,85.97114063215759,96.7475950526798,98.64864864864865,91.59925361196547
AAKV-M3-P5,85.86807146129179,96.7361429225836,98.64864864864865,91.50687309585615
AAKV-M5-P5,86.10856619331196,96.7246907924874,98.64864864864865,91.63971780497204
AAKV-M1-P10,85.93678424186899,96.7475950526798,98.64864864864865,91.58093020381155
AAKV-M3-P10,85.8451672010994,96.77049931287219,98.64864864864865,91.49962008012857
AAKV-M5-P10,86.05130554283097,96.7361429225836,98.64864864864865,91.60574315235333
