method,Hit@1,Hit@3,Hit@5,MRR
1st-P3,62.818883784576286,81.37034502981135,86.50180822988955,73.57485006857647
1st-P5,62.7700127064803,81.46808718600333,86.50180822988955,73.5634196664218
1st-P10,62.7700127064803,81.45831297038413,86.51158244550875,73.57000985725594
Fallback-M1-P5,62.72114162838432,81.15531228618903,86.44316293617436,73.45759403645384
AAKV-M1-P3,62.84820643143387,81.14553807056983,86.48225979865116,73.53130791258195
AAKV-M3-P3,62.740690059622715,80.99892483628189,86.46271136741277,73.42173232651336
AAKV-M5-P3,62.515883100381195,80.9598279738051,86.45293715179358,73.29120035671836
AAKV-M1-P5,62.86775486267228,81.21395757990422,86.48225979865116,73.56543621545231
AAKV-M3-P5,62.7895611377187,81.01847326752029,86.46271136741277,73.46930017586011
AAKV-M5-P5,62.54520574723878,80.92073111132831,86.45293715179358,73.31727656767384
AAKV-M1-P10,62.965497018864234,81.24328022676181,86.48225979865116,73.6404300483877
AAKV-M3-P10,62.88730329391067,81.10644120809305,86.46271136741277,73.55292789925912
AAKV-M5-P10,62.69181898152674,81.02824748313948,86.46271136741277,73.42598756583848
