method,Hit@1,Hit@3,Hit@5,MRR
1st-P3,63.48448687350835,85.44152744630071,90.69212410501193,75.5047001526715
1st-P5,63.24582338902148,85.44152744630071,90.69212410501193,75.35752433723795
1st-P10,63.0071599045346,85.44152744630071,90.69212410501193,75.31774708982346
Fallback-M1-P5,62.29116945107399,84.7255369928401,90.69212410501193,74.71313292912338
AAKV-M1-P3,62.29116945107399,84.48687350835323,90.69212410501193,74.70915520438193
AAKV-M3-P3,63.24582338902148,84.00954653937947,90.69212410501193,74.98759593628328
AAKV-M5-P3,63.0071599045346,83.53221957040573,90.69212410501193,74.86826419403985
AAKV-M1-P5,62.05250596658711,84.48687350835323,90.69212410501193,74.55004621472402
AAKV-M3-P5,63.0071599045346,84.00954653937947,90.69212410501193,74.81655377240102
AAKV-M5-P5,63.0071599045346,83.7708830548926,90.69212410501193,74.83644239610827
AAKV-M1-P10,62.05250596658711,84.48687350835323,90.69212410501193,74.62960070955297
AAKV-M3-P10,62.52983293556086,84.00954653937947,90.69212410501193,74.65744478274313
AAKV-M5-P10,62.52983293556086,83.7708830548926,90.69212410501193,74.67733340645036
