method,Hit@1,Hit@3,Hit@5,MRR
1st-P3,29.84390413741078,47.345209771949165,54.975918296292,42.000970868469885
1st-P5,29.919340799628618,47.44966053502002,54.964312655950785,42.05404753899014
1st-P10,29.988974641675853,47.4090407938258,54.95850983578019,42.08141290204864
Fallback-M1-P5,29.977369001334647,47.565716938432075,55.00493239714501,42.12158592210713
AAKV-M1-P3,29.90193233911681,47.48447745604364,54.98752393663321,42.041464008391124
AAKV-M3-P3,30.012185922358263,47.50768873672605,54.93529855509778,42.12325039038868
AAKV-M5-P3,29.884523878605002,47.327801311437355,54.88887599373295,42.01134640211032
AAKV-M1-P5,29.954157720652237,47.536702837579064,55.01653803748622,42.07479990388157
AAKV-M3-P5,30.070214124064293,47.565716938432075,54.941101375268374,42.15763727411166
AAKV-M5-P5,29.930946439969823,47.35681541229037,54.89467881390355,42.0339746170267
AAKV-M1-P10,30.000580282017058,47.554111298090874,55.074566239192244,42.086971298991536
AAKV-M3-P10,30.087622584576103,47.6121394997969,54.98752393663321,42.16995537466768
AAKV-M5-P10,29.959960540822838,47.351012592119766,54.92949573492717,42.050088277686626
