method,Hit@1,Hit@3,Hit@5,MRR
1st-P3,49.636752136752136,79.52991452991452,91.68803418803418,66.78641106044952
1st-P5,49.636752136752136,79.65811965811966,91.68803418803418,66.83982986386833
1st-P10,49.72222222222222,79.63675213675214,91.68803418803418,66.87081276985123
Fallback-M1-P5,49.38034188034188,79.46581196581197,91.68803418803418,66.65215180119026
AAKV-M1-P3,49.38034188034188,79.42307692307692,91.68803418803418,66.61547088950935
AAKV-M3-P3,49.38034188034188,79.08119658119658,91.68803418803418,66.55528570432416
AAKV-M5-P3,49.25213675213676,78.69658119658119,91.66666666666666,66.44880422284268
AAKV-M1-P5,49.358974358974365,79.52991452991452,91.68803418803418,66.654288553327
AAKV-M3-P5,49.38034188034188,79.2094017094017,91.68803418803418,66.60300650204498
AAKV-M5-P5,49.2094017094017,78.82478632478632,91.66666666666666,66.47052786956633
AAKV-M1-P10,49.50854700854701,79.65811965811966,91.68803418803418,66.7664680405065
AAKV-M3-P10,49.50854700854701,79.31623931623932,91.68803418803418,66.71055635959482
AAKV-M5-P10,49.33760683760684,78.88888888888889,91.68803418803418,66.55813470717317
