dataset,feature,target,AUROC,AUPRC,prevalence
01_ESC50,neg_base_margin,any_M_P5_benefit,0.8861361361361361,0.006434809253868546,0.001
01_ESC50,neg_base_margin,fixed_M1_P5_benefit,0.8784392196098049,0.004098360655737705,0.0005
01_ESC50,neg_base_margin,fixed_M1_P5_harm,0.7592685370741483,0.013166085226738622,0.002
01_ESC50,neg_first_margin,any_M_P5_benefit,0.9969969969969971,0.5714285714285714,0.001
01_ESC50,neg_first_margin,fixed_M1_P5_benefit,0.9934967483741871,0.07142857142857142,0.0005
01_ESC50,neg_first_margin,fixed_M1_P5_harm,0.9179609218436874,0.1512915257968386,0.002
01_ESC50,base_entropy,any_M_P5_benefit,0.8948948948948948,0.007045088566827697,0.001
01_ESC50,base_entropy,fixed_M1_P5_benefit,0.8969484742371185,0.004830917874396135,0.0005
01_ESC50,base_entropy,fixed_M1_P5_harm,0.7513777555110219,0.007731630386648743,0.002
01_ESC50,first_entropy,any_M_P5_benefit,0.98998998998999,0.06798245614035087,0.001
01_ESC50,first_entropy,fixed_M1_P5_benefit,0.9909954977488744,0.05263157894736842,0.0005
01_ESC50,first_entropy,fixed_M1_P5_harm,0.9252254509018036,0.08657566677257604,0.002
01_ESC50,top1_conflict,any_M_P5_benefit,0.972972972972973,0.01818181818181818,0.001
01_ESC50,top1_conflict,fixed_M1_P5_benefit,0.972736368184092,0.00909090909090909,0.0005
01_ESC50,top1_conflict,fixed_M1_P5_harm,0.4724448897795591,0.002,0.002
01_ESC50,js_divergence,any_M_P5_benefit,0.953953953953954,0.015639481000926783,0.001
01_ESC50,js_divergence,fixed_M1_P5_benefit,0.9589794897448725,0.012048192771084338,0.0005
01_ESC50,js_divergence,fixed_M1_P5_harm,0.9321142284569138,0.019677058228791528,0.002
01_ESC50,distribution_l1_change,any_M_P5_benefit,0.9527027027027027,0.015297202797202798,0.001
01_ESC50,distribution_l1_change,fixed_M1_P5_benefit,0.9564782391195598,0.011363636363636364,0.0005
01_ESC50,distribution_l1_change,fixed_M1_P5_harm,0.9254759519038076,0.017877121790213463,0.002
01_ESC50,top1_score_change_abs,any_M_P5_benefit,0.7782782782782783,0.003349875930521092,0.001
01_ESC50,top1_score_change_abs,fixed_M1_P5_benefit,0.7833916958479239,0.002304147465437788,0.0005
01_ESC50,top1_score_change_abs,fixed_M1_P5_harm,0.13652304609218435,0.0017345215759849908,0.002
01_ESC50,neg_evidence_support,any_M_P5_benefit,0.8380880880880881,0.0049624060150375935,0.001
01_ESC50,neg_evidence_support,fixed_M1_P5_benefit,0.7628814407203602,0.002105263157894737,0.0005
01_ESC50,neg_evidence_support,fixed_M1_P5_harm,0.9615480961923848,0.02722114920328344,0.002
01_ESC50,evidence_variance,any_M_P5_benefit,0.8403403403403403,0.004565153156702453,0.001
01_ESC50,evidence_variance,fixed_M1_P5_benefit,0.8574287143571786,0.0034965034965034965,0.0005
01_ESC50,evidence_variance,fixed_M1_P5_harm,0.14591683366733466,0.0017522704339051464,0.002
02_UrbanSound8K,neg_base_margin,any_M_P5_benefit,0.7703483618920542,0.043564241811530686,0.015231333027943198
02_UrbanSound8K,neg_base_margin,fixed_M1_P5_benefit,0.7704376871688551,0.019655874381765758,0.0057260650480989465
02_UrbanSound8K,neg_base_margin,fixed_M1_P5_harm,0.8093423657775922,0.03398577800249517,0.010192395785616124
02_UrbanSound8K,neg_first_margin,any_M_P5_benefit,0.849067517030744,0.084624077350874,0.015231333027943198
02_UrbanSound8K,neg_first_margin,fixed_M1_P5_benefit,0.8029002533978344,0.020546383705676255,0.0057260650480989465
02_UrbanSound8K,neg_first_margin,fixed_M1_P5_harm,0.8177768071063548,0.04145443577003903,0.010192395785616124
02_UrbanSound8K,base_entropy,any_M_P5_benefit,0.7757564046177775,0.052462124253091325,0.015231333027943198
02_UrbanSound8K,base_entropy,fixed_M1_P5_benefit,0.7747592720571298,0.01783865834824058,0.0057260650480989465
02_UrbanSound8K,base_entropy,fixed_M1_P5_harm,0.8187713119794287,0.05294632795827227,0.010192395785616124
02_UrbanSound8K,first_entropy,any_M_P5_benefit,0.8547068333702029,0.11039033579244502,0.015231333027943198
02_UrbanSound8K,first_entropy,fixed_M1_P5_benefit,0.8105090992858788,0.023306888754223275,0.0057260650480989465
02_UrbanSound8K,first_entropy,fixed_M1_P5_harm,0.8302438681949541,0.05760890838158788,0.010192395785616124
02_UrbanSound8K,top1_conflict,any_M_P5_benefit,0.7685969779664884,0.08208906141840935,0.015231333027943198
02_UrbanSound8K,top1_conflict,fixed_M1_P5_benefit,0.684812255240728,0.01849885551066369,0.0057260650480989465
02_UrbanSound8K,top1_conflict,fixed_M1_P5_harm,0.6847380552164706,0.03272430776602855,0.010192395785616124
02_UrbanSound8K,js_divergence,any_M_P5_benefit,0.8786683536379033,0.2050137429173528,0.015231333027943198
02_UrbanSound8K,js_divergence,fixed_M1_P5_benefit,0.8339207555862704,0.039981043347767406,0.0057260650480989465
02_UrbanSound8K,js_divergence,fixed_M1_P5_harm,0.8241897385297187,0.055497248193447715,0.010192395785616124
02_UrbanSound8K,distribution_l1_change,any_M_P5_benefit,0.8784165320849513,0.1992865593677863,0.015231333027943198
02_UrbanSound8K,distribution_l1_change,fixed_M1_P5_benefit,0.8318843584427551,0.03898624387670189,0.0057260650480989465
02_UrbanSound8K,distribution_l1_change,fixed_M1_P5_harm,0.8256236455558633,0.05383111355118418,0.010192395785616124
