dataset,feature,trigger_budget,trigger_n,fixed_rescue_covered,fixed_rescue_recall,fixed_harm_triggered,harm_per_trigger,any_M_rescue_recall
01_ESC50,neg_base_margin,0.1,200,0,0.0,1,0.005,0.0
01_ESC50,neg_base_margin,0.2,400,1,1.0,1,0.0025,1.0
01_ESC50,neg_base_margin,0.3,600,1,1.0,3,0.005,1.0
01_ESC50,neg_base_margin,0.5,1000,1,1.0,4,0.004,1.0
01_ESC50,neg_first_margin,0.1,200,1,1.0,2,0.01,1.0
01_ESC50,neg_first_margin,0.2,400,1,1.0,3,0.0075,1.0
01_ESC50,neg_first_margin,0.3,600,1,1.0,4,0.006666666666666667,1.0
01_ESC50,neg_first_margin,0.5,1000,1,1.0,4,0.004,1.0
01_ESC50,base_entropy,0.1,200,0,0.0,1,0.005,0.0
01_ESC50,base_entropy,0.2,400,1,1.0,1,0.0025,1.0
01_ESC50,base_entropy,0.3,600,1,1.0,3,0.005,1.0
01_ESC50,base_entropy,0.5,1000,1,1.0,4,0.004,1.0
01_ESC50,first_entropy,0.1,200,1,1.0,2,0.01,1.0
01_ESC50,first_entropy,0.2,400,1,1.0,4,0.01,1.0
01_ESC50,first_entropy,0.3,600,1,1.0,4,0.006666666666666667,1.0
01_ESC50,first_entropy,0.5,1000,1,1.0,4,0.004,1.0
01_ESC50,top1_conflict,0.1,200,1,1.0,0,0.0,1.0
01_ESC50,top1_conflict,0.2,400,1,1.0,1,0.0025,1.0
01_ESC50,top1_conflict,0.3,600,1,1.0,1,0.0016666666666666668,1.0
01_ESC50,top1_conflict,0.5,1000,1,1.0,1,0.001,1.0
01_ESC50,js_divergence,0.1,200,1,1.0,3,0.015,1.0
01_ESC50,js_divergence,0.2,400,1,1.0,4,0.01,1.0
01_ESC50,js_divergence,0.3,600,1,1.0,4,0.006666666666666667,1.0
01_ESC50,js_divergence,0.5,1000,1,1.0,4,0.004,1.0
01_ESC50,distribution_l1_change,0.1,200,1,1.0,3,0.015,1.0
01_ESC50,distribution_l1_change,0.2,400,1,1.0,4,0.01,1.0
