method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,83.76087952,96.59871736,98.64864865,90.40346036
Frozen-iKnow-05b,,84.88318827,96.77049931,98.64864865,91.07799082
Best-Fixed-Relation-analysis-only,occurs in,86.23453962,97.19422813,98.64864865,91.85950327
Relation-Oracle-analysis-only,,96.96518552,98.63719652,98.79752634,97.98267093
Single-Relation,affects,81.03527256,95.69399908,98.63719652,88.69777465
Single-Relation,associated with environment,81.19560238,96.51855245,98.63719652,89.01135851
Single-Relation,associated with event,85.82226294,97.03389831,98.67155291,91.61864043
Single-Relation,belongs to class,83.05084746,95.96885021,98.71736143,89.77559733
Single-Relation,can be heard in,83.33715071,96.48419606,98.61429226,90.14473766
Single-Relation,caused by,82.08886853,96.59871736,98.67155291,89.53204870
Single-Relation,co-occurs with,79.53504352,96.49564819,98.66010078,88.12696777
Single-Relation,described by,78.21804856,96.34677050,98.66010078,87.32445975
Single-Relation,emitted by,82.34081539,96.15208429,98.64864865,89.53634324
Single-Relation,emotionally associated with,85.00916170,96.64452588,98.64864865,91.09901366
Single-Relation,entails event,83.85249656,95.84287678,98.64864865,90.20239368
Single-Relation,event composed of,83.06229959,96.48419606,98.67155291,89.99022933
Single-Relation,follows,83.31424645,96.33531837,98.62574439,90.06609970
Single-Relation,generated by,81.67659185,96.32386624,98.63719652,89.13028343
Single-Relation,has children,81.04672469,96.31241411,98.61429226,88.87154709
Single-Relation,has duration,73.75171782,94.75492442,98.63719652,84.52956740
Single-Relation,has loudness,78.71049015,95.94594595,98.59138800,87.50188597
Single-Relation,has parent,81.64223546,95.52221713,98.70590930,88.86515299
Single-Relation,has pitch,78.97388914,96.54145671,98.66010078,87.87406656
Single-Relation,has sibling,82.43243243,95.90013743,98.70590930,89.44844815
Single-Relation,has subtype,83.54328905,96.66743014,98.64864865,90.33570192
Single-Relation,has timbre,80.76042144,95.37333944,98.62574439,88.38847170
Single-Relation,indicates,80.96655978,96.57581310,98.62574439,88.97557061
Single-Relation,invites action,74.97709574,95.84287678,98.62574439,85.63633397
Single-Relation,is a type of,80.34814475,96.20934494,98.68300504,88.38464069
Single-Relation,is instance of,84.42510307,96.61016949,98.64864865,90.74961463
Single-Relation,is sound of,82.28355474,96.08337151,98.66010078,89.43136538
Single-Relation,is variant of,83.38295923,95.93449382,98.66010078,90.05302518
Single-Relation,linked to visual,81.72240037,95.81997251,98.66010078,89.08600186
Single-Relation,localized in,83.00503894,96.55290884,98.62574439,89.99738691
Single-Relation,occurs in,86.23453962,97.19422813,98.64864865,91.85950327
Single-Relation,originates from,83.01649107,96.39257902,98.66010078,89.87752129
Single-Relation,overlaps with,84.95190105,96.55290884,98.70590930,91.01710367
Single-Relation,part of scene,82.77599634,96.73614292,98.66010078,89.90691509
Single-Relation,perceived as,84.04718278,96.78195144,98.63719652,90.57858252
Single-Relation,performed by,81.91708658,96.71323866,98.67155291,89.46411302
Single-Relation,precedes,83.19972515,96.06046725,98.62574439,89.94508885
Single-Relation,produced during,82.56985799,96.38112689,98.63719652,89.64209821
Single-Relation,produces,83.39441136,95.88868530,98.62574439,90.00712123
Single-Relation,requires attention,80.63444801,95.38479157,98.67155291,88.29904965
Single-Relation,responds to,83.78378378,96.49564819,98.64864865,90.37150346
Single-Relation,scene contains,76.62620247,95.21300962,98.66010078,86.33929026
Single-Relation,temporal component of,82.74163995,96.80485570,98.67155291,89.88448800
Single-Relation,transcribed as,83.07375172,96.40403115,98.66010078,89.92800609
Single-Relation,triggers,78.33256986,95.72835547,98.62574439,87.30758149
Single-Relation,used for,82.82180486,96.17498855,98.67155291,89.77160272
Single-Relation,warns about,79.71827760,96.47274393,98.62574439,88.24791044
