method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,57.34532304,79.65008308,86.34542078,70.16715548
Frozen-iKnow-05b,,59.83774802,80.72524680,86.51158245,71.80177525
Best-Fixed-Relation-analysis-only,has children,60.99110546,80.71547258,86.45293715,72.44946973
Relation-Oracle-analysis-only,,79.42527612,85.52438667,87.61606881,83.75638320
Single-Relation,affects,55.90851334,79.73805102,86.39429186,69.37242289
Single-Relation,associated with environment,58.09793764,79.69895416,86.51158245,70.57866935
Single-Relation,associated with event,57.25735510,80.56885935,86.38451764,70.37706099
Single-Relation,belongs to class,60.31668459,80.78389209,86.38451764,72.06702287
Single-Relation,can be heard in,57.92200176,79.81624475,86.42361450,70.52492668
Single-Relation,caused by,58.24455087,80.18766494,86.29654970,70.85524157
Single-Relation,co-occurs with,57.18893559,79.95308377,86.43338872,70.15545745
Single-Relation,described by,55.93783599,79.33730818,86.35519500,69.28599901
Single-Relation,emitted by,60.34600723,80.21698759,86.51158245,71.91907538
Single-Relation,emotionally associated with,56.62203108,79.56211514,86.33564656,69.81482603
Single-Relation,entails event,58.27387352,80.40269768,86.60932460,70.92388146
Single-Relation,event composed of,57.23780667,80.33427817,86.49203401,70.32013394
Single-Relation,follows,57.00322549,79.70872837,86.38451764,69.98305537
Single-Relation,generated by,57.90245333,79.81624475,86.42361450,70.53468185
Single-Relation,has children,60.99110546,80.71547258,86.45293715,72.44946973
Single-Relation,has duration,58.44980940,80.51021406,86.32587235,71.01166745
Single-Relation,has loudness,57.91222754,80.22676180,86.42361450,70.62821531
Single-Relation,has parent,59.88661910,80.75456945,86.34542078,71.86398681
Single-Relation,has pitch,58.28364774,80.17789072,86.46271137,70.82769827
Single-Relation,has sibling,60.73697586,80.88163425,86.38451764,72.33624045
Single-Relation,has subtype,60.79562115,80.73502101,86.58977617,72.40645190
Single-Relation,has timbre,57.44306519,80.40269768,86.45293715,70.56006766
Single-Relation,indicates,59.32948881,80.64705307,86.50180823,71.50520716
Single-Relation,invites action,56.53406314,79.78692210,86.32587235,69.82975921
Single-Relation,is a type of,58.13703450,80.07037435,86.46271137,70.76384454
Single-Relation,is instance of,58.17613137,80.02150327,86.53113088,70.75303860
Single-Relation,is sound of,58.74303587,80.08992278,86.35519500,71.03420210
Single-Relation,is variant of,59.50542469,79.89443847,86.22813019,71.48145074
Single-Relation,linked to visual,58.38138989,80.32450396,86.41384029,70.96413416
Single-Relation,localized in,58.97761705,79.82601896,86.40406607,71.15932017
Single-Relation,occurs in,57.14983873,79.42527612,86.46271137,70.00307277
Single-Relation,originates from,58.93852018,80.02150327,86.49203401,71.14776858
Single-Relation,overlaps with,57.41374255,80.51998827,86.45293715,70.44933200
Single-Relation,part of scene,58.15658293,80.21698759,86.45293715,70.73641468
Single-Relation,perceived as,58.18590558,80.27563288,86.52135666,70.78140710
Single-Relation,performed by,56.92503177,79.34708240,86.41384029,69.85549410
Single-Relation,precedes,57.87313068,80.12901965,86.47248558,70.60172867
Single-Relation,produced during,58.07838921,80.15834229,86.52135666,70.70105296
Single-Relation,produces,58.46935783,80.62750464,86.34542078,71.12248809
Single-Relation,requires attention,57.04232235,79.63053465,86.45293715,70.03058444
Single-Relation,responds to,56.90548333,79.96285798,86.52135666,70.08371005
Single-Relation,scene contains,58.17613137,80.20721337,86.53113088,70.74606901
Single-Relation,temporal component of,59.82797381,80.66660151,86.54090509,71.83855023
Single-Relation,transcribed as,58.59642264,80.11924543,86.51158245,70.97913716
Single-Relation,triggers,58.85055224,80.44179455,86.41384029,71.20475863
Single-Relation,used for,59.07535920,80.43202033,86.46271137,71.39820665
Single-Relation,warns about,55.76190011,79.54256671,86.31609813,69.24304288
