method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,58.71121718,84.00954654,90.69212411,73.01464446
Frozen-iKnow-05b,,61.57517900,84.72553699,91.64677804,74.13238512
Best-Fixed-Relation-analysis-only,is sound of,62.29116945,84.72553699,91.88544153,75.23421487
Relation-Oracle-analysis-only,,80.66825776,90.21479714,93.55608592,86.47232905
Single-Relation,affects,59.42720764,81.86157518,91.40811456,72.47367390
Single-Relation,associated with environment,60.85918854,84.48687351,91.40811456,74.02498655
Single-Relation,associated with event,61.81384248,86.15751790,91.88544153,74.83644240
Single-Relation,belongs to class,59.66587112,83.77088305,91.40811456,73.14524643
Single-Relation,can be heard in,62.29116945,83.53221957,91.64677804,74.88019737
Single-Relation,caused by,57.51789976,81.38424821,92.36276850,71.82530477
Single-Relation,co-occurs with,59.66587112,84.00954654,91.88544153,73.05839944
Single-Relation,described by,57.27923628,84.48687351,91.64677804,72.04010190
Single-Relation,emitted by,60.85918854,84.24821002,92.12410501,73.97725385
Single-Relation,emotionally associated with,57.75656325,84.96420048,91.64677804,72.87144637
Single-Relation,entails event,59.66587112,84.00954654,91.64677804,73.25501269
Single-Relation,event composed of,58.23389021,84.00954654,92.60143198,72.63609766
Single-Relation,follows,57.27923628,84.48687351,92.12410501,72.12694889
Single-Relation,generated by,61.33651551,85.91885442,92.12410501,74.60175664
Single-Relation,has children,60.85918854,83.53221957,91.40811456,73.86587756
Single-Relation,has duration,53.22195704,84.24821002,91.88544153,69.82053150
Single-Relation,has loudness,56.32458234,84.48687351,91.40811456,71.43151002
Single-Relation,has parent,60.38186158,84.72553699,91.16945107,73.86521461
Single-Relation,has pitch,57.75656325,84.96420048,91.40811456,72.37925029
Single-Relation,has sibling,59.66587112,84.96420048,91.64677804,73.53970413
Single-Relation,has subtype,61.33651551,83.77088305,91.88544153,73.96929840
Single-Relation,has timbre,53.22195704,83.53221957,91.40811456,69.54606849
Single-Relation,indicates,60.14319809,84.72553699,91.64677804,74.01239042
Single-Relation,invites action,58.23389021,84.24821002,91.40811456,72.61289427
Single-Relation,is a type of,60.62052506,85.20286396,91.64677804,73.96929840
Single-Relation,is instance of,60.14319809,84.96420048,91.40811456,73.67494677
Single-Relation,is sound of,62.29116945,84.72553699,91.88544153,75.23421487
Single-Relation,is variant of,60.14319809,86.39618138,91.88544153,74.08863014
Single-Relation,linked to visual,57.99522673,83.05489260,91.64677804,72.42594120
Single-Relation,localized in,59.66587112,84.00954654,91.88544153,73.26921885
Single-Relation,occurs in,60.85918854,85.20286396,92.36276850,74.25342160
Single-Relation,originates from,63.00715990,84.48687351,91.64677804,75.17786377
Single-Relation,overlaps with,59.90453461,85.44152745,90.93078759,73.67494677
Single-Relation,part of scene,60.62052506,84.00954654,91.40811456,73.77041217
Single-Relation,perceived as,60.38186158,85.20286396,91.16945107,73.87383301
Single-Relation,performed by,60.14319809,84.48687351,91.40811456,73.84134826
Single-Relation,precedes,57.27923628,83.77088305,91.64677804,71.80939387
Single-Relation,produced during,61.57517900,83.77088305,91.16945107,74.35513770
Single-Relation,produces,60.38186158,84.72553699,91.64677804,73.77041217
Single-Relation,requires attention,59.90453461,83.53221957,91.40811456,73.41639466
Single-Relation,responds to,55.36992840,82.33890215,91.88544153,70.36945751
Single-Relation,scene contains,58.23389021,83.05489260,91.88544153,72.18727772
Single-Relation,temporal component of,59.90453461,84.72553699,91.40811456,73.69881312
Single-Relation,transcribed as,57.51789976,84.72553699,90.93078759,72.44582983
Single-Relation,triggers,59.66587112,83.29355609,91.16945107,72.66460469
Single-Relation,used for,60.62052506,84.00954654,91.16945107,73.75450127
Single-Relation,warns about,59.18854415,84.24821002,91.88544153,72.83100617
