method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,28.65432600,46.35873034,54.80183369,41.05863903
Frozen-iKnow-05b,,29.21719956,47.04346312,54.86566471,41.53813414
Best-Fixed-Relation-analysis-only,belongs to class,29.68722799,47.02605466,54.97591830,41.84476657
Relation-Oracle-analysis-only,,46.41095572,53.73411478,57.52915917,52.91594243
Single-Relation,affects,28.04502988,46.48058957,54.85986189,40.71570557
Single-Relation,associated with environment,28.09145245,46.68368827,54.85986189,40.84222895
Single-Relation,associated with event,27.60401555,46.06278651,54.83665061,40.44471259
Single-Relation,belongs to class,29.68722799,47.02605466,54.97591830,41.84476657
Single-Relation,can be heard in,28.54987524,46.95642082,55.05715778,41.19542526
Single-Relation,caused by,27.78970580,46.45157547,54.59293217,40.53460816
Single-Relation,co-occurs with,28.31195961,46.56182905,54.91789009,40.91579330
Single-Relation,described by,27.85353682,46.36453316,54.84825625,40.62132568
Single-Relation,emitted by,28.96767829,47.15371671,54.83084779,41.42135318
Single-Relation,emotionally associated with,27.59240991,46.30650496,54.83665061,40.48789985
Single-Relation,entails event,28.62531190,47.09568850,55.17321418,41.24576494
Single-Relation,event composed of,28.28294551,46.50960367,54.86566471,40.92029110
Single-Relation,follows,28.05663552,46.53861777,55.11518598,40.79038705
Single-Relation,generated by,28.91545291,46.62566007,54.67417165,41.29723681
Single-Relation,has children,28.02762142,46.40515290,54.73219985,40.71371279
Single-Relation,has duration,28.01601578,45.85968781,54.71479139,40.58534333
Single-Relation,has loudness,28.03922706,46.16143446,54.76701677,40.66249903
Single-Relation,has parent,29.08953752,46.84036442,54.85405907,41.47266554
Single-Relation,has pitch,28.48604422,46.09760344,54.85405907,40.98523505
Single-Relation,has sibling,29.04891777,46.73011083,54.83084779,41.42411947
Single-Relation,has subtype,28.38159345,46.97382928,54.89467881,41.07953149
Single-Relation,has timbre,29.08373470,46.55602623,54.81924215,41.36272432
Single-Relation,indicates,28.49764986,46.53281495,55.06296060,41.05263644
Single-Relation,invites action,27.88255092,46.14402600,54.99912958,40.61821261
Single-Relation,is a type of,28.57888934,46.78233622,54.74960831,41.12761715
Single-Relation,is instance of,28.79359369,46.80554750,54.79022805,41.27755631
Single-Relation,is sound of,28.25973423,46.34132188,54.77281959,40.84341762
Single-Relation,is variant of,28.41641038,46.56182905,54.81924215,40.96738857
Single-Relation,linked to visual,28.39900191,46.43416701,54.84245343,40.95532277
Single-Relation,localized in,28.82260779,47.33360413,55.06296060,41.43482109
Single-Relation,occurs in,28.85162189,46.82295596,54.95850984,41.32295770
Single-Relation,originates from,28.26553705,46.21365984,54.61034063,40.79307456
Single-Relation,overlaps with,28.68334010,46.59084315,54.90048163,41.17534477
Single-Relation,part of scene,28.94446701,46.81135032,54.88307317,41.36831013
Single-Relation,perceived as,28.17269193,46.74751929,55.06876342,40.88412104
Single-Relation,performed by,28.07404399,46.54442059,54.68577729,40.80786904
Single-Relation,precedes,28.56148088,46.51540649,54.87146753,41.11625470
Single-Relation,produced during,28.70655138,47.13630825,55.02814368,41.33396253
Single-Relation,produces,27.95218476,46.38194162,54.84825625,40.69109031
Single-Relation,requires attention,27.78390298,46.05118087,54.78442523,40.52150553
Single-Relation,responds to,27.89995938,46.70109673,54.88887599,40.75278679
Single-Relation,scene contains,28.01601578,46.11501190,54.78442523,40.67968989
Single-Relation,temporal component of,28.16108629,46.75912493,54.79603087,40.92569020
Single-Relation,transcribed as,27.92897348,46.56182905,54.90628445,40.70961394
Single-Relation,triggers,28.16108629,46.47478675,54.79603087,40.84736400
Single-Relation,used for,28.41641038,46.71270237,54.96431266,41.02612450
Single-Relation,warns about,27.62722683,46.10340626,54.76121395,40.44084794
