method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,40.49145299,75.02136752,91.66666667,60.25079852
Frozen-iKnow-05b,,43.69658120,79.55128205,92.11538462,63.71083617
Best-Fixed-Relation-analysis-only,is a type of,48.78205128,78.65384615,91.75213675,66.21243874
Relation-Oracle-analysis-only,,77.58547009,90.70512821,93.71794872,85.36628489
Single-Relation,affects,38.76068376,77.45726496,91.90170940,59.97149450
Single-Relation,associated with environment,39.70085470,79.67948718,92.56410256,61.25321509
Single-Relation,associated with event,41.51709402,79.89316239,91.98717949,62.25461415
Single-Relation,belongs to class,46.68803419,82.79914530,92.32905983,65.84941981
Single-Relation,can be heard in,41.68803419,79.10256410,92.60683761,62.13803397
Single-Relation,caused by,44.40170940,81.32478632,92.39316239,64.42374826
Single-Relation,co-occurs with,38.97435897,78.35470085,92.71367521,60.34641818
Single-Relation,described by,41.11111111,80.74786325,92.56410256,62.09405249
Single-Relation,emitted by,44.61538462,80.10683761,92.52136752,64.31663084
Single-Relation,emotionally associated with,41.32478632,79.14529915,92.62820513,62.18506796
Single-Relation,entails event,42.50000000,79.48717949,92.56410256,63.09774093
Single-Relation,event composed of,46.66666667,78.67521368,92.17948718,65.00390190
Single-Relation,follows,42.99145299,78.44017094,91.85897436,62.83893955
Single-Relation,generated by,41.88034188,81.73076923,92.47863248,63.43249877
Single-Relation,has children,41.23931624,77.77777778,92.37179487,61.77694830
Single-Relation,has duration,42.97008547,80.74786325,92.58547009,63.41082600
Single-Relation,has loudness,43.56837607,81.90170940,92.75641026,63.75028977
Single-Relation,has parent,45.59829060,80.29914530,92.02991453,64.78318049
Single-Relation,has pitch,45.36324786,80.21367521,92.24358974,64.25545359
Single-Relation,has sibling,39.50854701,79.91452991,92.28632479,61.27715180
Single-Relation,has subtype,38.73931624,77.88461538,92.22222222,60.14734411
Single-Relation,has timbre,40.00000000,79.72222222,92.02991453,61.36216401
Single-Relation,indicates,42.56410256,80.94017094,92.17948718,63.37796071
Single-Relation,invites action,43.33333333,79.57264957,92.05128205,63.16487056
Single-Relation,is a type of,48.78205128,78.65384615,91.75213675,66.21243874
Single-Relation,is instance of,46.70940171,81.75213675,92.28632479,65.89663186
Single-Relation,is sound of,45.81196581,82.22222222,92.11538462,65.02135205
Single-Relation,is variant of,41.11111111,82.58547009,92.56410256,62.93099796
Single-Relation,linked to visual,41.53846154,79.35897436,92.37179487,62.15095624
Single-Relation,localized in,43.14102564,80.49145299,92.58547009,63.39131542
Single-Relation,occurs in,35.23504274,76.36752137,92.39316239,57.99563471
Single-Relation,originates from,45.68376068,78.44017094,92.32905983,64.28747944
Single-Relation,overlaps with,39.93589744,76.00427350,91.55982906,60.55314895
Single-Relation,part of scene,40.70512821,79.52991453,92.07264957,61.76094810
Single-Relation,perceived as,47.02991453,79.29487179,91.98717949,65.25125640
Single-Relation,performed by,44.38034188,80.08547009,92.28632479,63.94361497
Single-Relation,precedes,38.91025641,81.28205128,92.26495726,61.01570491
Single-Relation,produced during,41.68803419,76.88034188,92.43589744,61.52412474
Single-Relation,produces,41.51709402,77.73504274,91.75213675,61.85740719
Single-Relation,requires attention,38.78205128,77.50000000,91.79487179,60.30396295
Single-Relation,responds to,34.78632479,78.58974359,92.64957265,58.28368925
Single-Relation,scene contains,37.73504274,75.12820513,92.41452991,58.78803906
Single-Relation,temporal component of,43.71794872,80.02136752,92.07264957,63.77877980
Single-Relation,transcribed as,46.77350427,79.05982906,92.56410256,65.41003743
Single-Relation,triggers,44.63675214,75.42735043,91.38888889,62.91375131
Single-Relation,used for,48.29059829,80.08547009,92.00854701,66.02984818
Single-Relation,warns about,41.13247863,81.36752137,92.45726496,62.56533353
