method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,58.23389021,82.81622912,90.69212411,72.36266452
Frozen-iKnow-05b,,59.66587112,84.96420048,91.40811456,73.50597626
Best-Fixed-Relation-analysis-only,is sound of,63.72315036,84.96420048,91.64677804,75.61615923
Relation-Oracle-analysis-only,,81.62291169,90.45346062,92.60143198,87.17088136
Single-Relation,affects,58.94988067,81.86157518,91.16945107,72.08990625
Single-Relation,associated with environment,59.18854415,84.96420048,91.40811456,73.11388625
Single-Relation,associated with event,60.85918854,85.68019093,91.88544153,74.13388852
Single-Relation,belongs to class,58.94988067,84.72553699,91.64677804,72.96671043
Single-Relation,can be heard in,60.62052506,83.29355609,91.64677804,73.34459428
Single-Relation,caused by,58.71121718,82.57756563,91.64677804,72.32004604
Single-Relation,co-occurs with,59.66587112,82.81622912,91.40811456,73.04796966
Single-Relation,described by,58.23389021,82.81622912,91.40811456,72.09388397
Single-Relation,emitted by,60.85918854,85.68019093,91.88544153,74.21742074
Single-Relation,emotionally associated with,58.23389021,84.72553699,91.64677804,72.53342256
Single-Relation,entails event,60.85918854,84.72553699,91.16945107,74.08047336
Single-Relation,event composed of,60.14319809,84.48687351,91.40811456,73.44034380
Single-Relation,follows,56.80190931,83.77088305,91.64677804,71.49921412
Single-Relation,generated by,59.90453461,84.96420048,91.64677804,73.53325208
Single-Relation,has children,60.38186158,84.48687351,91.16945107,73.81396580
Single-Relation,has duration,53.69928401,82.81622912,90.45346062,69.63261944
Single-Relation,has loudness,55.13126492,83.05489260,91.16945107,70.58661042
Single-Relation,has parent,60.85918854,85.20286396,91.64677804,73.85942551
Single-Relation,has pitch,57.99522673,83.29355609,91.16945107,72.12996762
Single-Relation,has sibling,60.62052506,85.44152745,91.64677804,73.81169282
Single-Relation,has subtype,57.51789976,83.29355609,91.88544153,71.84726504
Single-Relation,has timbre,52.26730310,83.29355609,92.12410501,68.94068475
Single-Relation,indicates,59.90453461,86.15751790,92.12410501,73.63724117
Single-Relation,invites action,57.51789976,83.53221957,91.40811456,71.79725936
Single-Relation,is a type of,59.42720764,85.20286396,92.12410501,73.25083363
Single-Relation,is instance of,61.57517900,84.96420048,91.16945107,74.52200080
Single-Relation,is sound of,63.72315036,84.96420048,91.64677804,75.61615923
Single-Relation,is variant of,60.85918854,85.44152745,91.40811456,74.12593307
Single-Relation,linked to visual,59.18854415,81.38424821,91.88544153,72.31834130
Single-Relation,localized in,57.99522673,83.77088305,91.64677804,72.17912093
Single-Relation,occurs in,60.62052506,85.44152745,91.88544153,73.98273498
Single-Relation,originates from,63.00715990,84.72553699,91.88544153,75.05274293
Single-Relation,overlaps with,61.09785203,85.44152745,91.16945107,74.29924822
Single-Relation,part of scene,58.94988067,83.53221957,91.40811456,72.69224742
Single-Relation,perceived as,59.66587112,83.77088305,90.93078759,73.07041540
Single-Relation,performed by,60.38186158,85.20286396,92.12410501,74.13616150
Single-Relation,precedes,57.75656325,84.24821002,91.40811456,72.34220765
Single-Relation,produced during,61.81384248,84.00954654,91.40811456,74.38107570
Single-Relation,produces,61.81384248,84.96420048,90.93078759,74.47852996
Single-Relation,requires attention,61.09785203,84.24821002,90.93078759,74.25947097
Single-Relation,responds to,57.27923628,83.05489260,91.40811456,71.05569782
Single-Relation,scene contains,58.47255370,83.53221957,91.64677804,72.30470338
Single-Relation,temporal component of,60.38186158,85.20286396,91.88544153,73.76225538
Single-Relation,transcribed as,57.51789976,83.77088305,90.69212411,71.74157121
Single-Relation,triggers,59.42720764,81.38424821,90.69212411,72.23575616
Single-Relation,used for,59.18854415,83.05489260,91.16945107,72.75986874
Single-Relation,warns about,57.99522673,82.57756563,91.64677804,71.83135414
