method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,40.21367521,74.59401709,91.73076923,60.23687495
Frozen-iKnow-05b,,43.93162393,79.87179487,92.13675214,63.96520218
Best-Fixed-Relation-analysis-only,is a type of,49.18803419,78.46153846,91.83760684,66.45262756
Relation-Oracle-analysis-only,,77.58547009,90.55555556,93.78205128,85.35593953
Single-Relation,affects,39.25213675,77.52136752,91.21794872,60.21671995
Single-Relation,associated with environment,39.70085470,79.12393162,92.30769231,61.20486606
Single-Relation,associated with event,41.41025641,79.57264957,91.85897436,62.25045011
Single-Relation,belongs to class,46.96581197,82.64957265,92.32905983,66.07997629
Single-Relation,can be heard in,42.02991453,78.84615385,92.64957265,62.27120713
Single-Relation,caused by,44.87179487,81.34615385,92.13675214,64.61154426
Single-Relation,co-occurs with,39.78632479,78.05555556,92.54273504,60.76975719
Single-Relation,described by,41.58119658,80.44871795,92.52136752,62.36082353
Single-Relation,emitted by,44.63675214,79.91452991,92.47863248,64.38838085
Single-Relation,emotionally associated with,41.51709402,78.58974359,92.43589744,62.21338763
Single-Relation,entails event,43.41880342,79.97863248,92.09401709,63.61145947
Single-Relation,event composed of,47.30769231,78.54700855,91.81623932,65.23043925
Single-Relation,follows,43.33333333,78.56837607,91.79487179,63.09004107
Single-Relation,generated by,42.60683761,82.11538462,92.26495726,63.99627835
Single-Relation,has children,41.68803419,77.35042735,92.20085470,61.96326045
Single-Relation,has duration,42.94871795,80.89743590,92.56410256,63.36898898
Single-Relation,has loudness,44.05982906,81.66666667,92.47863248,64.12463611
Single-Relation,has parent,45.79059829,80.38461538,91.92307692,64.90399101
Single-Relation,has pitch,45.64102564,80.19230769,91.90170940,64.51372850
Single-Relation,has sibling,38.93162393,80.10683761,92.17948718,60.96064886
Single-Relation,has subtype,38.61111111,77.05128205,92.02991453,60.05226635
Single-Relation,has timbre,40.29914530,80.02136752,91.94444444,61.65070957
Single-Relation,indicates,42.54273504,80.34188034,92.13675214,63.34315293
Single-Relation,invites action,43.63247863,79.89316239,91.75213675,63.35844088
Single-Relation,is a type of,49.18803419,78.46153846,91.83760684,66.45262756
Single-Relation,is instance of,46.28205128,81.68803419,92.09401709,65.66674369
Single-Relation,is sound of,46.00427350,81.98717949,91.88034188,65.17978466
Single-Relation,is variant of,40.72649573,82.69230769,92.39316239,62.80681966
Single-Relation,linked to visual,42.17948718,78.71794872,92.45726496,62.48986810
Single-Relation,localized in,42.75641026,80.17094017,92.39316239,63.27752411
Single-Relation,occurs in,35.47008547,76.15384615,92.41452991,58.22391877
Single-Relation,originates from,45.72649573,78.09829060,92.13675214,64.38285243
Single-Relation,overlaps with,39.74358974,75.96153846,91.47435897,60.47407139
Single-Relation,part of scene,40.74786325,79.42307692,92.05128205,61.81858028
Single-Relation,perceived as,47.41452991,79.44444444,92.02991453,65.53395981
Single-Relation,performed by,44.97863248,79.65811966,91.98717949,64.30291076
Single-Relation,precedes,39.03846154,81.06837607,92.32905983,60.98795180
Single-Relation,produced during,40.96153846,77.90598291,92.22222222,61.28555389
Single-Relation,produces,41.28205128,77.54273504,91.81623932,61.77797351
Single-Relation,requires attention,38.54700855,77.58547009,91.73076923,60.23005769
Single-Relation,responds to,35.53418803,78.07692308,92.58547009,58.64763163
Single-Relation,scene contains,38.39743590,74.61538462,92.28632479,59.14985317
Single-Relation,temporal component of,43.33333333,79.85042735,92.24358974,63.56305186
Single-Relation,transcribed as,47.09401709,78.44017094,92.35042735,65.47821771
Single-Relation,triggers,44.74358974,75.49145299,91.60256410,62.90254955
Single-Relation,used for,48.33333333,79.61538462,92.13675214,66.08765842
Single-Relation,warns about,40.96153846,81.66666667,92.45726496,62.41454758
