method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,91.10000000,96.75000000,97.65000000,94.10549431
Frozen-iKnow-05b,,91.75000000,97.05000000,97.65000000,94.57216098
Best-Fixed-Relation-analysis-only,indicates,92.45000000,97.05000000,97.65000000,94.93632764
Relation-Oracle-analysis-only,,97.05000000,97.65000000,97.80000000,97.55049431
Single-Relation,affects,91.00000000,96.90000000,97.70000000,94.18299431
Single-Relation,associated with environment,92.25000000,96.80000000,97.65000000,94.75966098
Single-Relation,associated with event,90.90000000,97.00000000,97.60000000,94.12382764
Single-Relation,belongs to class,90.90000000,97.05000000,97.65000000,94.18299431
Single-Relation,can be heard in,91.20000000,96.90000000,97.65000000,94.28466098
Single-Relation,caused by,92.05000000,96.50000000,97.60000000,94.58549431
Single-Relation,co-occurs with,90.40000000,96.80000000,97.70000000,93.85799431
Single-Relation,described by,86.45000000,96.40000000,97.70000000,91.59882764
Single-Relation,emitted by,91.90000000,97.15000000,97.65000000,94.71049431
Single-Relation,emotionally associated with,88.80000000,97.05000000,97.65000000,92.98882764
Single-Relation,entails event,88.80000000,96.80000000,97.65000000,92.99882764
Single-Relation,event composed of,91.00000000,96.70000000,97.60000000,94.07466098
Single-Relation,follows,90.55000000,96.65000000,97.65000000,93.82299431
Single-Relation,generated by,90.35000000,97.20000000,97.65000000,93.88132764
Single-Relation,has children,92.05000000,97.10000000,97.70000000,94.73632764
Single-Relation,has duration,90.35000000,97.10000000,97.65000000,93.75966098
Single-Relation,has loudness,90.75000000,96.80000000,97.60000000,93.90882764
Single-Relation,has parent,91.85000000,96.95000000,97.60000000,94.60382764
Single-Relation,has pitch,90.00000000,97.00000000,97.65000000,93.65132764
Single-Relation,has sibling,91.05000000,96.95000000,97.60000000,94.17049431
Single-Relation,has subtype,91.65000000,96.95000000,97.70000000,94.49049431
Single-Relation,has timbre,90.00000000,96.90000000,97.75000000,93.57382764
Single-Relation,indicates,92.45000000,97.05000000,97.65000000,94.93632764
Single-Relation,invites action,88.15000000,96.95000000,97.60000000,92.60597050
Single-Relation,is a type of,92.10000000,97.00000000,97.65000000,94.73966098
Single-Relation,is instance of,89.95000000,97.10000000,97.70000000,93.66382764
Single-Relation,is sound of,89.80000000,96.60000000,97.65000000,93.47049431
Single-Relation,is variant of,91.10000000,96.70000000,97.70000000,94.13966098
Single-Relation,linked to visual,90.35000000,97.15000000,97.65000000,93.81299431
Single-Relation,localized in,91.15000000,97.25000000,97.65000000,94.30966098
Single-Relation,occurs in,90.95000000,96.90000000,97.65000000,94.04299431
Single-Relation,originates from,91.70000000,97.05000000,97.60000000,94.53132764
Single-Relation,overlaps with,90.50000000,96.90000000,97.75000000,93.85966098
Single-Relation,part of scene,90.55000000,96.85000000,97.70000000,94.00382764
Single-Relation,perceived as,91.80000000,96.80000000,97.65000000,94.48216098
Single-Relation,performed by,89.90000000,96.50000000,97.70000000,93.45882764
Single-Relation,precedes,91.25000000,96.90000000,97.65000000,94.25049431
Single-Relation,produced during,89.05000000,96.55000000,97.60000000,93.00847050
Single-Relation,produces,90.75000000,96.60000000,97.65000000,93.92966098
Single-Relation,requires attention,87.90000000,96.95000000,97.60000000,92.56466098
Single-Relation,responds to,91.25000000,96.80000000,97.70000000,94.23132764
Single-Relation,scene contains,89.05000000,96.80000000,97.70000000,93.10882764
Single-Relation,temporal component of,90.85000000,97.00000000,97.70000000,94.07799431
Single-Relation,transcribed as,88.60000000,96.65000000,97.65000000,92.63299431
Single-Relation,triggers,91.10000000,96.75000000,97.60000000,94.17132764
Single-Relation,used for,92.25000000,96.95000000,97.65000000,94.83299431
Single-Relation,warns about,89.50000000,96.90000000,97.65000000,93.36966098
