method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,83.60054970,96.47274393,98.61429226,90.30812592
Frozen-iKnow-05b,,84.80302336,96.65597801,98.61429226,91.02254797
Best-Fixed-Relation-analysis-only,occurs in,86.18873110,97.18277600,98.60284013,91.82838256
Relation-Oracle-analysis-only,,96.86211635,98.60284013,98.76316995,97.92133841
Single-Relation,affects,81.04672469,95.61383417,98.59138800,88.68786765
Single-Relation,associated with environment,81.19560238,96.43838754,98.59138800,88.95648827
Single-Relation,associated with event,85.73064590,97.05680257,98.61429226,91.56769663
Single-Relation,belongs to class,82.90196977,95.80852038,98.63719652,89.70802067
Single-Relation,can be heard in,83.14246450,96.54145671,98.57993587,90.03268856
Single-Relation,caused by,81.93999084,96.51855245,98.62574439,89.45023868
Single-Relation,co-occurs with,79.70682547,96.34677050,98.61429226,88.19081794
Single-Relation,described by,78.46999542,96.27805772,98.63719652,87.44325288
Single-Relation,emitted by,82.29500687,96.20934494,98.60284013,89.52400948
Single-Relation,emotionally associated with,84.98625744,96.56436097,98.64864865,91.09136982
Single-Relation,entails event,83.89830508,95.73980760,98.62574439,90.22108973
Single-Relation,event composed of,82.75309208,96.53000458,98.63719652,89.82558224
Single-Relation,follows,83.45167201,96.28950985,98.61429226,90.14366515
Single-Relation,generated by,81.63078333,96.20934494,98.57993587,89.07415890
Single-Relation,has children,80.90929913,96.31241411,98.61429226,88.80623359
Single-Relation,has duration,73.56848374,94.68621164,98.57993587,84.40969268
Single-Relation,has loudness,78.66468163,95.98030234,98.55703161,87.48821612
Single-Relation,has parent,81.39028859,95.51076500,98.64864865,88.73592570
Single-Relation,has pitch,79.28309666,96.34677050,98.63719652,87.99964916
Single-Relation,has sibling,82.45533669,95.83142464,98.63719652,89.44404907
Single-Relation,has subtype,83.57764544,96.58726523,98.57993587,90.33092111
Single-Relation,has timbre,80.98946404,95.30462666,98.57993587,88.48695093
Single-Relation,indicates,80.71461292,96.57581310,98.62574439,88.84012645
Single-Relation,invites action,74.75950527,95.57947778,98.60284013,85.46596082
Single-Relation,is a type of,80.33669262,96.03756299,98.63719652,88.40189160
Single-Relation,is instance of,84.29912964,96.62162162,98.62574439,90.70112485
Single-Relation,is sound of,82.32936326,96.00320660,98.61429226,89.48392703
Single-Relation,is variant of,83.42876775,95.86578104,98.61429226,90.08279163
Single-Relation,linked to visual,81.81401741,95.63673843,98.62574439,89.10423438
Single-Relation,localized in,83.15391663,96.57581310,98.55703161,90.08280526
Single-Relation,occurs in,86.18873110,97.18277600,98.60284013,91.82838256
Single-Relation,originates from,82.68437929,96.31241411,98.61429226,89.70706633
Single-Relation,overlaps with,85.03206596,96.41548328,98.68300504,91.05687710
Single-Relation,part of scene,82.75309208,96.66743014,98.60284013,89.90139807
Single-Relation,perceived as,84.04718278,96.86211635,98.59138800,90.56090443
Single-Relation,performed by,82.07741640,96.59871736,98.64864865,89.54072414
Single-Relation,precedes,83.08520385,96.00320660,98.61429226,89.87274048
Single-Relation,produced during,82.39807604,96.20934494,98.60284013,89.52366864
Single-Relation,produces,83.36005497,95.81997251,98.60284013,89.99402399
Single-Relation,requires attention,80.81768209,95.20155749,98.60284013,88.35106596
Single-Relation,responds to,83.69216674,96.46129180,98.60284013,90.34875372
Single-Relation,scene contains,76.68346312,95.24736601,98.62574439,86.31724945
Single-Relation,temporal component of,82.77599634,96.87356848,98.62574439,89.91433625
Single-Relation,transcribed as,82.85616125,96.38112689,98.62574439,89.80000582
Single-Relation,triggers,78.58451672,95.63673843,98.59138800,87.39278170
Single-Relation,used for,82.90196977,96.11772790,98.62574439,89.77710156
Single-Relation,warns about,79.61520843,96.54145671,98.56848374,88.18835028
