method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,57.51148470,79.41550191,86.18903333,70.22241075
Frozen-iKnow-05b,,59.84752224,80.58840778,86.43338872,71.79678089
Best-Fixed-Relation-analysis-only,has children,61.22568664,80.74479523,86.38451764,72.55987175
Relation-Oracle-analysis-only,,79.36663083,85.30935392,87.51832665,83.66226399
Single-Relation,affects,56.44609520,79.89443847,86.41384029,69.68069459
Single-Relation,associated with environment,58.16635715,79.85534161,86.35519500,70.64813602
Single-Relation,associated with event,57.53103313,80.38314925,86.20858176,70.49935073
Single-Relation,belongs to class,60.27758772,80.75456945,86.27700127,72.03579960
Single-Relation,can be heard in,57.90245333,79.69895416,86.36496921,70.51949648
Single-Relation,caused by,58.61597107,80.00195484,86.19880755,71.01978188
Single-Relation,co-occurs with,57.53103313,80.01172906,86.32587235,70.37783629
Single-Relation,described by,55.64460952,79.19069495,86.28677549,69.09684071
Single-Relation,emitted by,60.26781351,80.02150327,86.37474343,71.82872198
Single-Relation,emotionally associated with,56.72954745,79.48392142,86.18903333,69.86820015
Single-Relation,entails event,58.37161568,80.37337504,86.45293715,70.99802191
Single-Relation,event composed of,57.21825823,80.15834229,86.26722706,70.31915256
Single-Relation,follows,57.09119343,79.86511582,86.19880755,70.05143602
Single-Relation,generated by,58.05884078,79.76737367,86.24767862,70.57716858
Single-Relation,has children,61.22568664,80.74479523,86.38451764,72.55987175
Single-Relation,has duration,58.62574528,80.12901965,86.19880755,71.04616027
Single-Relation,has loudness,58.13703450,80.19743916,86.32587235,70.75149447
Single-Relation,has parent,60.27758772,80.76434366,86.22813019,72.07173924
Single-Relation,has pitch,58.15658293,80.04105171,86.30632392,70.72896698
Single-Relation,has sibling,61.04975076,80.90118268,86.28677549,72.51138113
Single-Relation,has subtype,61.09862184,80.81321474,86.48225980,72.55445326
Single-Relation,has timbre,57.73629166,80.50043984,86.39429186,70.67896358
Single-Relation,indicates,59.43700518,80.51998827,86.30632392,71.56108302
Single-Relation,invites action,56.59270844,79.78692210,86.15971068,69.86266954
Single-Relation,is a type of,58.80168117,79.84556739,86.40406607,71.06058112
Single-Relation,is instance of,58.67461636,79.93353533,86.39429186,71.00278137
Single-Relation,is sound of,58.81145538,79.99218063,86.16948490,71.07269769
Single-Relation,is variant of,59.86707067,79.75759945,86.10106539,71.66458533
Single-Relation,linked to visual,58.45958362,80.31472974,86.22813019,70.95108663
Single-Relation,localized in,59.04603656,79.85534161,86.27700127,71.19748995
Single-Relation,occurs in,57.05209657,79.37640504,86.39429186,69.94646369
Single-Relation,originates from,59.17310136,80.20721337,86.29654970,71.28448340
Single-Relation,overlaps with,57.40396833,80.39292347,86.29654970,70.41127454
Single-Relation,part of scene,58.49868048,80.10947121,86.47248558,70.92257850
Single-Relation,perceived as,58.48890627,80.10947121,86.31609813,70.88920266
Single-Relation,performed by,56.83706383,78.93656534,86.31609813,69.75362110
Single-Relation,precedes,58.34229303,79.99218063,86.37474343,70.82625629
Single-Relation,produced during,58.19567980,80.30495553,86.33564656,70.76790542
Single-Relation,produces,58.62574528,80.57863356,86.24767862,71.16121640
Single-Relation,requires attention,56.85661226,79.60121200,86.42361450,69.95895720
Single-Relation,responds to,57.26712931,79.60121200,86.41384029,70.23385278
Single-Relation,scene contains,58.25432509,80.03127749,86.37474343,70.78331180
Single-Relation,temporal component of,59.80842537,80.63727886,86.39429186,71.82224815
Single-Relation,transcribed as,59.02648812,80.11924543,86.35519500,71.20130267
Single-Relation,triggers,59.27084351,80.41247190,86.18903333,71.41106820
Single-Relation,used for,59.37835989,80.43202033,86.32587235,71.53423495
Single-Relation,warns about,56.05512658,79.63053465,86.20858176,69.45017084
