method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,59.42720764,81.86157518,89.73747017,72.78638161
Frozen-iKnow-05b,,59.66587112,82.57756563,89.73747017,72.68163486
Best-Fixed-Relation-analysis-only,is sound of,63.00715990,85.20286396,89.97613365,75.18494963
Relation-Oracle-analysis-only,,81.38424821,89.26014320,92.12410501,86.56181064
Single-Relation,affects,59.90453461,80.90692124,90.21479714,72.58579063
Single-Relation,associated with environment,59.90453461,83.53221957,89.02147971,73.17648276
Single-Relation,associated with event,62.29116945,84.24821002,89.73747017,74.44111510
Single-Relation,belongs to class,58.71121718,83.53221957,89.97613365,72.44429728
Single-Relation,can be heard in,61.81384248,83.05489260,89.49880668,73.98538150
Single-Relation,caused by,58.94988067,81.62291169,90.93078759,72.35849208
Single-Relation,co-occurs with,60.62052506,83.05489260,89.97613365,73.16085598
Single-Relation,described by,57.51789976,81.86157518,89.49880668,71.30126967
Single-Relation,emitted by,61.81384248,83.77088305,89.73747017,74.23200043
Single-Relation,emotionally associated with,60.85918854,83.77088305,90.45346062,73.74501327
Single-Relation,entails event,59.90453461,83.29355609,89.73747017,73.07249367
Single-Relation,event composed of,59.90453461,82.57756563,90.21479714,73.08897281
Single-Relation,follows,57.99522673,83.05489260,89.97613365,71.84195611
Single-Relation,generated by,60.85918854,84.96420048,89.49880668,73.72114693
Single-Relation,has children,61.09785203,83.77088305,89.97613365,73.86207203
Single-Relation,has duration,56.32458234,81.14558473,89.49880668,70.74410408
Single-Relation,has loudness,56.32458234,82.33890215,90.21479714,70.93247776
Single-Relation,has parent,60.62052506,83.77088305,89.97613365,73.69898532
Single-Relation,has pitch,58.94988067,82.10023866,89.49880668,72.62869324
Single-Relation,has sibling,60.38186158,83.53221957,89.97613365,73.49668960
Single-Relation,has subtype,61.57517900,82.57756563,90.45346062,73.79047298
Single-Relation,has timbre,53.46062053,81.86157518,89.97613365,69.25984450
Single-Relation,indicates,61.09785203,84.48687351,89.97613365,74.31610090
Single-Relation,invites action,61.57517900,83.05489260,90.45346062,73.96208340
Single-Relation,is a type of,60.62052506,83.77088305,89.73747017,73.67341423
Single-Relation,is instance of,62.29116945,84.72553699,89.26014320,74.48316534
Single-Relation,is sound of,63.00715990,85.20286396,89.97613365,75.18494963
Single-Relation,is variant of,60.62052506,84.48687351,89.97613365,73.81661232
Single-Relation,linked to visual,58.47255370,83.77088305,89.97613365,72.38633615
Single-Relation,localized in,59.42720764,82.33890215,89.49880668,72.65966267
Single-Relation,occurs in,61.57517900,83.77088305,90.45346062,74.34564971
Single-Relation,originates from,62.76849642,83.53221957,89.97613365,74.63801248
Single-Relation,overlaps with,61.57517900,84.00954654,89.26014320,74.39565539
Single-Relation,part of scene,59.42720764,83.05489260,89.49880668,72.65682143
Single-Relation,perceived as,60.38186158,84.00954654,89.97613365,73.32166971
Single-Relation,performed by,60.14319809,84.48687351,89.97613365,73.58817727
Single-Relation,precedes,57.51789976,83.53221957,90.69212411,71.56522012
Single-Relation,produced during,61.81384248,83.05489260,89.49880668,74.29592815
Single-Relation,produces,62.05250597,83.53221957,90.21479714,74.32774995
Single-Relation,requires attention,61.81384248,82.57756563,89.26014320,74.22461323
Single-Relation,responds to,57.51789976,82.57756563,90.93078759,71.15551447
Single-Relation,scene contains,58.71121718,82.10023866,90.21479714,72.12011272
Single-Relation,temporal component of,59.18854415,83.53221957,89.73747017,72.87616454
Single-Relation,transcribed as,57.51789976,83.29355609,89.02147971,71.77632365
Single-Relation,triggers,59.42720764,81.86157518,89.26014320,72.28177882
Single-Relation,used for,59.66587112,84.00954654,89.26014320,73.02078325
Single-Relation,warns about,58.94988067,81.62291169,90.93078759,71.90332672
