method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,28.48024140,46.22526548,54.68577729,40.99236667
Frozen-iKnow-05b,,28.85162189,47.04926594,54.84825625,41.36123136
Best-Fixed-Relation-analysis-only,belongs to class,29.42610109,47.08408286,54.96431266,41.71753672
Relation-Oracle-analysis-only,,46.06278651,53.68769222,57.49434225,52.71227813
Single-Relation,affects,27.87094528,46.25427958,54.87146753,40.62214982
Single-Relation,associated with environment,27.96959322,46.66627981,54.69158011,40.74950702
Single-Relation,associated with event,27.20942378,46.14982882,54.80763651,40.26789211
Single-Relation,belongs to class,29.42610109,47.08408286,54.96431266,41.71753672
Single-Relation,can be heard in,28.56148088,46.94481518,54.97011548,41.19215390
Single-Relation,caused by,27.62722683,46.30070214,54.77281959,40.49949640
Single-Relation,co-occurs with,27.95218476,46.41095572,54.83084779,40.67080529
Single-Relation,described by,27.65043811,46.38774444,54.91789009,40.53358262
Single-Relation,emitted by,28.83421343,47.04926594,54.80763651,41.38094227
Single-Relation,emotionally associated with,27.87674810,46.28329368,54.88887599,40.61785895
Single-Relation,entails event,28.39900191,46.78813904,55.03974932,41.08319231
Single-Relation,event composed of,28.36418499,46.55022341,54.90048163,40.98924376
Single-Relation,follows,27.96379040,46.40515290,54.85986189,40.72977046
Single-Relation,generated by,28.61370626,46.62566007,54.73219985,41.09938295
Single-Relation,has children,27.68525503,46.46898393,54.87727035,40.54973955
Single-Relation,has duration,27.96379040,46.12081472,54.66256601,40.61600734
Single-Relation,has loudness,28.27714269,46.30070214,54.74960831,40.82356063
Single-Relation,has parent,28.74717113,46.75912493,54.81343933,41.29070182
Single-Relation,has pitch,28.07404399,46.34712470,54.87146753,40.78736441
Single-Relation,has sibling,28.76457959,46.73591365,54.85405907,41.29129174
Single-Relation,has subtype,28.28294551,46.76492775,55.02814368,40.98810196
Single-Relation,has timbre,28.59629780,46.39354726,54.79603087,41.09195033
Single-Relation,indicates,28.30615679,46.56182905,54.97591830,40.95942359
Single-Relation,invites action,27.98119886,46.05698369,54.73800267,40.63145622
Single-Relation,is a type of,28.48604422,46.64306853,54.67997447,41.03129216
Single-Relation,is instance of,28.74717113,46.63146289,54.98172112,41.25789680
Single-Relation,is sound of,28.02181860,46.46318111,54.70318575,40.71960823
Single-Relation,is variant of,28.13207219,46.41675854,54.92949573,40.83093424
Single-Relation,linked to visual,28.48024140,46.45157547,54.63355191,41.02786321
Single-Relation,localized in,28.75297395,47.11889979,55.02234086,41.33864664
Single-Relation,occurs in,28.63691754,46.63726571,54.91208727,41.14120561
Single-Relation,originates from,28.09145245,46.31230778,54.72639703,40.74100728
Single-Relation,overlaps with,28.50925550,46.71850519,54.99332676,41.10918554
Single-Relation,part of scene,28.52666396,46.85197006,54.86566471,41.13090932
Single-Relation,perceived as,28.14948065,46.83456160,55.12098880,40.97990120
Single-Relation,performed by,28.09725527,46.34132188,54.84825625,40.80464943
Single-Relation,precedes,28.44542448,46.56763187,54.60453781,41.00265714
Single-Relation,produced during,28.53826960,46.89258980,54.92949573,41.14433109
Single-Relation,produces,27.71426913,46.27749086,54.80763651,40.57228219
Single-Relation,requires attention,27.45894505,45.98734985,54.77862241,40.33926239
Single-Relation,responds to,27.96959322,46.63726571,54.73800267,40.75845238
Single-Relation,scene contains,28.07404399,46.06858933,54.67417165,40.70027149
Single-Relation,temporal component of,28.00441014,46.46318111,54.88887599,40.78939189
Single-Relation,transcribed as,27.69105785,46.26588522,54.88887599,40.53039400
Single-Relation,triggers,27.99860732,46.40515290,55.05135496,40.77508537
Single-Relation,used for,28.19590321,46.63726571,54.98752394,40.90826282
Single-Relation,warns about,27.83612836,46.50380085,54.86566471,40.64225461
