method,relation,Hit@1,Hit@3,Hit@5,MRR
CLAP,,39.97863248,74.61538462,91.53846154,59.99902068
Frozen-iKnow-05b,,43.37606838,79.63675214,91.85897436,63.58464340
Best-Fixed-Relation-analysis-only,is a type of,49.65811966,78.71794872,91.70940171,66.61750868
Relation-Oracle-analysis-only,,77.41452991,90.57692308,93.56837607,85.18830131
Single-Relation,affects,38.61111111,77.09401709,91.21794872,59.77191446
Single-Relation,associated with environment,39.55128205,79.27350427,92.30769231,61.12096818
Single-Relation,associated with event,41.36752137,79.50854701,91.85897436,62.17660005
Single-Relation,belongs to class,47.07264957,82.71367521,92.24358974,66.01535158
Single-Relation,can be heard in,41.85897436,78.56837607,92.30769231,62.07444295
Single-Relation,caused by,44.44444444,81.11111111,92.22222222,64.30449993
Single-Relation,co-occurs with,39.40170940,78.11965812,92.47863248,60.49993644
Single-Relation,described by,40.55555556,80.44871795,92.32905983,61.77435646
Single-Relation,emitted by,43.97435897,79.76495726,92.35042735,63.99088068
Single-Relation,emotionally associated with,41.00427350,78.54700855,92.26495726,61.88434832
Single-Relation,entails event,42.77777778,78.99572650,91.92307692,63.12412244
Single-Relation,event composed of,46.66666667,78.11965812,91.85897436,64.89783021
Single-Relation,follows,42.97008547,78.31196581,91.53846154,62.77305915
Single-Relation,generated by,41.98717949,81.38888889,92.20085470,63.43743644
Single-Relation,has children,41.28205128,77.32905983,92.00854701,61.74220343
Single-Relation,has duration,42.58547009,80.70512821,92.22222222,63.09242728
Single-Relation,has loudness,44.38034188,81.60256410,92.35042735,64.12348650
Single-Relation,has parent,45.49145299,80.32051282,91.83760684,64.82848751
Single-Relation,has pitch,45.23504274,80.08547009,91.88034188,64.23691242
Single-Relation,has sibling,39.33760684,80.14957265,92.09401709,61.07731739
Single-Relation,has subtype,38.20512821,77.35042735,91.81623932,59.88078707
Single-Relation,has timbre,39.65811966,79.89316239,91.73076923,61.12106993
Single-Relation,indicates,42.47863248,80.66239316,92.02991453,63.35023660
Single-Relation,invites action,43.48290598,79.38034188,91.68803419,63.06022337
Single-Relation,is a type of,49.65811966,78.71794872,91.70940171,66.61750868
Single-Relation,is instance of,46.55982906,81.66666667,92.11538462,65.81681169
Single-Relation,is sound of,44.97863248,82.00854701,91.96581197,64.73215561
Single-Relation,is variant of,40.98290598,82.17948718,92.37179487,62.90757278
Single-Relation,linked to visual,41.11111111,79.12393162,92.05128205,61.82441751
Single-Relation,localized in,42.26495726,80.08547009,92.45726496,62.80284649
Single-Relation,occurs in,34.40170940,75.70512821,92.00854701,57.50301438
Single-Relation,originates from,45.55555556,78.16239316,92.13675214,64.27168552
Single-Relation,overlaps with,39.61538462,75.59829060,91.13247863,60.35143216
Single-Relation,part of scene,40.44871795,79.05982906,91.83760684,61.60428117
Single-Relation,perceived as,47.13675214,79.03846154,91.62393162,65.23515723
Single-Relation,performed by,44.18803419,79.74358974,91.94444444,63.92481942
Single-Relation,precedes,38.54700855,80.57692308,92.09401709,60.58265927
Single-Relation,produced during,41.53846154,76.36752137,92.09401709,61.24126224
Single-Relation,produces,40.89743590,77.37179487,91.43162393,61.52585727
Single-Relation,requires attention,37.92735043,77.11538462,91.19658120,59.75291263
Single-Relation,responds to,35.06410256,77.99145299,92.47863248,58.31228381
Single-Relation,scene contains,37.84188034,74.27350427,91.94444444,58.70379276
Single-Relation,temporal component of,43.20512821,79.82905983,91.85897436,63.37145149
Single-Relation,transcribed as,47.02991453,78.97435897,92.20085470,65.39114014
Single-Relation,triggers,44.10256410,75.49145299,91.02564103,62.52855365
Single-Relation,used for,48.18376068,80.14957265,92.07264957,66.00161531
Single-Relation,warns about,41.11111111,81.21794872,91.94444444,62.36641486
