method,Hit@1,Hit@3,Hit@5,MRR
CLAP,91.10000000,96.75000000,97.65000000,94.10549431
Frozen-iKnow,91.75000000,97.05000000,97.65000000,94.57216098
Abs-Top3,86.90000000,96.80000000,97.65000000,91.97632764
Margin-Top1,93.10000000,97.00000000,97.60000000,95.21049431
Margin-Top3,92.50000000,96.85000000,97.65000000,94.84549431
Entropy-Top1,93.00000000,97.00000000,97.60000000,95.17716098
Entropy-Top3,92.30000000,96.90000000,97.65000000,94.74382764
Consensus-Margin-Top1,93.85000000,96.95000000,97.60000000,95.63132764
Consensus-Margin-Top3,93.85000000,97.00000000,97.65000000,95.60799431
Relation-Oracle-analysis-only,97.05000000,97.65000000,97.80000000,97.55049431
