method,Hit@1,Hit@3,Hit@5,MRR
CLAP,40.49145299,75.02136752,91.66666667,60.25079852
Frozen-iKnow,43.69658120,79.55128205,92.11538462,63.71083617
Abs-Top3,39.61538462,78.20512821,91.68803419,60.77839824
Margin-Top1,45.27777778,79.33760684,92.09401709,64.38505778
Margin-Top3,45.57692308,80.83333333,92.24358974,64.88304822
Entropy-Top1,45.27777778,79.29487179,92.02991453,64.44119840
Entropy-Top3,45.76923077,81.13247863,92.35042735,65.03976881
Consensus-Margin-Top1,46.43162393,78.69658120,92.05128205,64.66344606
Consensus-Margin-Top3,46.43162393,79.95726496,92.11538462,65.01888461
Relation-Oracle-analysis-only,77.58547009,90.70512821,93.71794872,85.36628489
