method,Hit@1,Hit@3,Hit@5,MRR
CLAP,83.76087952,96.59871736,98.64864865,90.40346036
Frozen-iKnow,84.88318827,96.77049931,98.64864865,91.07799082
Abs-Top3,77.27897389,96.50710032,98.64864865,86.95255183
Margin-Top1,84.51672011,96.03756299,98.62574439,90.55510565
Margin-Top3,84.27622538,96.09482364,98.63719652,90.46768772
Entropy-Top1,84.39074668,96.01465873,98.62574439,90.49841761
Entropy-Top3,84.29912964,96.09482364,98.63719652,90.48181202
Consensus-Margin-Top1,85.83371507,96.24370133,98.64864865,91.34665234
Consensus-Margin-Top3,85.83371507,96.27805772,98.64864865,91.40571261
Ranked-Consensus-Top1,85.85661933,96.23224920,98.64864865,91.36039490
Ranked-Consensus-Top3,85.85661933,96.30096198,98.64864865,91.42289081
Relation-Oracle-analysis-only,96.96518552,98.63719652,98.79752634,97.98267093
