method,Hit@1,Hit@3,Hit@5,MRR
CLAP,57.34532304,79.65008308,86.34542078,70.16715548
Frozen-iKnow,59.83774802,80.72524680,86.51158245,71.80177525
Abs-Top3,57.64832372,79.91398690,86.34542078,70.37791394
Margin-Top1,61.54823575,80.55908513,86.51158245,72.62920705
Margin-Top3,61.68507477,80.41247190,86.44316294,72.72121054
Entropy-Top1,61.56778419,80.47111719,86.54090509,72.64275484
Entropy-Top3,61.62642948,80.53953670,86.45293715,72.68894965
Consensus-Margin-Top1,60.29713615,80.16811651,86.34542078,71.90010486
Consensus-Margin-Top3,60.29713615,79.98240641,86.35519500,71.81367109
Ranked-Consensus-Top1,60.16029714,80.20721337,86.33564656,71.82223695
Ranked-Consensus-Top3,60.16029714,79.97263220,86.34542078,71.74264512
Relation-Oracle-analysis-only,79.42527612,85.52438667,87.61606881,83.75638320
