method,Hit@1,Hit@3,Hit@5,MRR
CLAP,58.71121718,84.00954654,90.69212411,73.01464446
Frozen-iKnow,61.57517900,84.72553699,91.64677804,74.13238512
Abs-Top3,59.18854415,82.10023866,90.69212411,72.75609236
Margin-Top1,61.81384248,85.20286396,91.16945107,74.68528886
Margin-Top3,61.81384248,83.29355609,91.16945107,74.34718225
Entropy-Top1,61.33651551,85.44152745,91.88544153,74.62164526
Entropy-Top3,61.33651551,83.53221957,91.16945107,74.18409554
Consensus-Margin-Top1,63.48448687,84.72553699,91.40811456,75.62005417
Consensus-Margin-Top3,63.48448687,84.00954654,91.64677804,75.36150206
Ranked-Consensus-Top1,63.24582339,84.72553699,91.40811456,75.58027692
Ranked-Consensus-Top3,63.24582339,84.00954654,91.64677804,75.32172481
Relation-Oracle-analysis-only,80.66825776,90.21479714,93.55608592,86.47232905
