method,Hit@1,Hit@3,Hit@5,MRR
CLAP,28.65432600,46.35873034,54.80183369,41.05863903
Frozen-iKnow,29.21719956,47.04346312,54.86566471,41.53813414
Abs-Top3,27.36609992,46.62566007,54.84245343,40.41530188
Margin-Top1,29.06632623,46.39354726,54.83665061,41.27620778
Margin-Top3,29.01990367,46.63726571,54.94690420,41.30208864
Entropy-Top1,29.03731213,46.45737829,54.85986189,41.27521916
Entropy-Top3,29.04311495,46.67208263,54.88307317,41.32254896
Consensus-Margin-Top1,29.87872106,46.27168804,54.87146753,41.71515801
Consensus-Margin-Top3,29.87872106,46.50380085,55.01073522,41.73894398
Ranked-Consensus-Top1,29.74525619,46.22526548,54.84245343,41.62716950
Ranked-Consensus-Top3,29.74525619,46.40515290,54.97011548,41.64341271
Relation-Oracle-analysis-only,46.41095572,53.73411478,57.52915917,52.91594243
