method,Hit@1,Hit@3,Hit@5,MRR
CLAP,91.10000000,96.75000000,97.65000000,94.10549431
Frozen-iKnow-05b,91.75000000,97.05000000,97.65000000,94.57216098
A_iKnow-TopP5-Control,91.60000000,97.05000000,97.65000000,94.48299431
B_Text-only,88.45000000,95.80000000,97.65000000,92.50966098
C_Fusion-only,93.50000000,97.05000000,97.65000000,95.46632764
D_Selector-only,93.85000000,96.95000000,97.60000000,95.63132764
E_Text+Fusion,93.65000000,97.15000000,97.65000000,95.63299431
F_Text+Selector,92.35000000,96.95000000,97.65000000,94.74966098
G_Fusion+Selector,94.00000000,96.95000000,97.60000000,95.70716098
H_Full,94.05000000,97.10000000,97.65000000,95.77049431
