method,Hit@1,Hit@3,Hit@5,MRR
CLAP,83.76087952,96.59871736,98.64864865,90.40346036
Frozen-iKnow-05b,84.88318827,96.77049931,98.64864865,91.07799082
A_iKnow-TopP5-Control,84.72285845,96.74759505,98.64864865,90.99400854
B_Text-only,84.48236372,96.16353642,98.64864865,90.56970712
C_Fusion-only,85.05497022,96.91937700,98.64864865,91.19270299
D_Selector-only,85.83371507,96.24370133,98.64864865,91.34665234
E_Text+Fusion,86.16582684,96.93082913,98.64864865,91.73553396
F_Text+Selector,85.68483738,95.99175447,98.64864865,91.20969032
G_Fusion+Selector,85.84516720,96.57581310,98.66010078,91.49847487
H_Full,86.08566193,96.72469079,98.66010078,91.65727774
