method,Hit@1,Hit@3,Hit@5,MRR
CLAP,57.34532304,79.65008308,86.34542078,70.16715548
Frozen-iKnow-05b,59.83774802,80.72524680,86.51158245,71.80177525
A_iKnow-TopP5-Control,59.63248949,80.67637572,86.50180823,71.67140955
B_Text-only,61.47981624,80.55908513,86.46271137,72.56361473
C_Fusion-only,61.16704134,81.22373180,86.58977617,72.67739610
D_Selector-only,60.29713615,80.16811651,86.34542078,71.90010486
E_Text+Fusion,62.97527123,81.52673248,86.51158245,73.66798826
F_Text+Selector,61.58733262,80.31472974,86.47248558,72.54627713
G_Fusion+Selector,60.31668459,79.93353533,85.83716157,71.77365288
H_Full,62.07604340,80.72524680,86.46271137,73.01309945
