method,Hit@1,Hit@3,Hit@5,MRR
CLAP,58.71121718,84.00954654,90.69212411,73.01464446
Frozen-iKnow-05b,61.57517900,84.72553699,91.64677804,74.13238512
A_iKnow-TopP5-Control,61.33651551,84.72553699,91.16945107,74.03691972
B_Text-only,60.14319809,83.05489260,90.69212411,73.15784256
C_Fusion-only,62.05250597,85.20286396,90.93078759,74.67733341
D_Selector-only,63.48448687,84.72553699,91.40811456,75.62005417
E_Text+Fusion,63.96181384,85.91885442,90.69212411,75.80700723
F_Text+Selector,62.29116945,84.72553699,90.45346062,74.63755616
G_Fusion+Selector,63.72315036,84.00954654,91.16945107,75.55972534
H_Full,63.24582339,85.91885442,90.93078759,75.57629920
