method,Hit@1,Hit@3,Hit@5,MRR
CLAP,28.65432600,46.35873034,54.80183369,41.05863903
Frozen-iKnow-05b,29.21719956,47.04346312,54.86566471,41.53813414
A_iKnow-TopP5-Control,29.15336854,47.02605466,54.92949573,41.51253948
B_Text-only,28.59629780,46.74751929,54.83084779,41.12687787
C_Fusion-only,29.79748158,47.43805489,55.12098880,41.98286086
D_Selector-only,29.87872106,46.27168804,54.87146753,41.71515801
E_Text+Fusion,29.95415772,47.35681541,54.95850984,42.04759023
F_Text+Selector,29.43190391,46.47478675,54.94690420,41.47806476
G_Fusion+Selector,29.83810132,46.32391342,54.51169268,41.67201993
H_Full,30.21528463,46.73011083,54.73219985,42.01288005
