method,Hit@1,Hit@3,Hit@5,MRR
CLAP,40.49145299,75.02136752,91.66666667,60.25079852
Frozen-iKnow-05b,43.69658120,79.55128205,92.11538462,63.71083617
A_iKnow-TopP5-Control,42.94871795,79.35897436,92.11538462,63.22505575
B_Text-only,49.14529915,78.33333333,91.66666667,66.12900365
C_Fusion-only,46.26068376,79.31623932,92.09401709,65.18733190
D_Selector-only,46.43162393,78.69658120,92.05128205,64.66344606
E_Text+Fusion,50.59829060,80.00000000,91.64529915,67.38368416
F_Text+Selector,47.90598291,78.88888889,91.64529915,65.70506185
G_Fusion+Selector,46.19658120,78.03418803,92.28632479,64.65265670
H_Full,48.61111111,79.08119658,91.41025641,66.17625039
