dataset,comparison,sample_index,audio_path,true_indices,iKnow_rank,new_rank,delta_reciprocal_rank,Hit@1_transition
ESC-50,F-vs-iKnow,0,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100032-A-0.wav,[18],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,1,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100038-A-14.wav,[7],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,2,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100210-A-36.wav,[46],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,3,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100210-B-36.wav,[46],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,4,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101296-A-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,5,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101296-B-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,6,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101336-A-30.wav,[20],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,7,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101404-A-34.wav,[3],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,8,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-103298-A-9.wav,[16],1,2,-0.5,correct_to_wrong
ESC-50,F-vs-iKnow,9,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-103995-A-30.wav,[20],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,10,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-103999-A-30.wav,[20],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,11,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-104089-A-22.wav,[9],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,12,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-104089-B-22.wav,[9],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,13,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-105224-A-22.wav,[9],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,14,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-110389-A-0.wav,[18],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,15,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-110537-A-22.wav,[9],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,16,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115521-A-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,17,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115545-A-48.wav,[23],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,18,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115545-B-48.wav,[23],1,1,0.0,both_correct
