dataset,n,comparison,baseline,method,delta_Hit@1_pp,Hit@1_CI95_low,Hit@1_CI95_high,wrong_to_correct,correct_to_wrong,net_rescued,both_correct,both_wrong,discordant,McNemar_exact_p,delta_MRR_pp,MRR_CI95_low,MRR_CI95_high,McNemar_Holm_p_18,Hit@1_CI_excludes_zero,MRR_CI_excludes_zero,McNemar_significant_Holm_0.05
ESC-50,2000,F-vs-iKnow,I_Frozen-iKnow-05b,F_Fusion-only,1.7999999999999998,1.05,2.551249999999982,49,13,36,1822,116,62,4.8175233992660445e-06,0.9275000000000002,0.5375,1.33,4.8175233992660445e-05,True,True,True
ESC-50,2000,S-vs-iKnow,I_Frozen-iKnow-05b,S_Selector-only,2.1,1.2,3.0,62,20,42,1815,103,82,3.714641593828418e-06,1.0591666666666668,0.5816666666666667,1.5408333333333333,4.08610575321126e-05,True,True,True
ESC-50,2000,TFS-vs-iKnow,I_Frozen-iKnow-05b,TFS_AAKV+Fusion+Selector,2.5,1.6,3.4000000000000004,68,18,50,1817,97,86,5.293689508572569e-08,1.3333333333333335,0.8608333333333335,1.8216666666666665,7.411165312001597e-07,True,True,True
UrbanSound8K,8732,F-vs-iKnow,I_Frozen-iKnow-05b,F_Fusion-only,0.24049473202015578,-0.2061383417315621,0.6985799358680714,211,190,21,7222,1109,401,0.31791525712291596,0.15154985493968545,-0.08417792792792793,0.39034108260803163,1.0,False,False,False
UrbanSound8K,8732,S-vs-iKnow,I_Frozen-iKnow-05b,S_Selector-only,0.9505267979844251,0.44663307375171785,1.4429683921209346,281,198,83,7214,1039,479,0.00017315826482540078,0.2686615186615186,-0.009627969373732092,0.5476415428745935,0.0013852661186032063,True,False,True
UrbanSound8K,8732,TFS-vs-iKnow,I_Frozen-iKnow-05b,TFS_AAKV+Fusion+Selector,1.717819514429684,1.2139257901969767,2.233165368758589,342,192,150,7220,978,534,8.59035198482839e-11,0.7541227668346312,0.47507253015727596,1.0415712322491981,1.2885527977242583e-09,True,True,True
FSD50K,10231,F-vs-iKnow,I_Frozen-iKnow-05b,F_Fusion-only,1.3586159710683217,0.7819372495357249,1.9157462613625256,497,358,139,5764,3612,855,2.252071456281967e-06,0.9024184902992011,0.5886134511352978,1.2076450826094562,2.927692893166557e-05,True,True,True
FSD50K,10231,S-vs-iKnow,I_Frozen-iKnow-05b,S_Selector-only,0.45938813410223833,-0.20525852800312777,1.1240347962076043,634,587,47,5535,3475,1221,0.18800542010084417,0.09832961498179177,-0.28313934879924985,0.4801380596078981,0.9400271005042209,False,False,False
FSD50K,10231,TFS-vs-iKnow,I_Frozen-iKnow-05b,TFS_AAKV+Fusion+Selector,4.242009578731307,3.528491838529958,4.975075750171048,924,490,434,5632,3185,1414,3.777286182636238e-31,2.0153607603688157,1.6031769443974504,2.4384791100498187,6.421386510481605e-30,True,True,True
DCASE17-T4,419,F-vs-iKnow,I_Frozen-iKnow-05b,F_Fusion-only,0.47732696897374705,-2.386634844868735,3.341288782816229,20,18,2,240,141,38,0.8714146793645341,0.5131264916467781,-1.1217183770883055,2.140015910898966,1.0,False,False,False
DCASE17-T4,419,S-vs-iKnow,I_Frozen-iKnow-05b,S_Selector-only,1.9093078758949882,-1.431980906921241,5.250596658711217,30,22,8,236,131,52,0.3317497633694906,1.4876690533015118,-0.4494828957836117,3.4248210023866354,1.0,False,False,False
DCASE17-T4,419,TFS-vs-iKnow,I_Frozen-iKnow-05b,TFS_AAKV+Fusion+Selector,1.1933174224343674,-2.386634844868735,4.77326968973747,30,25,5,233,131,55,0.5900533317766354,0.42561654733492454,-1.6428003182179796,2.541865552903738,1.0,False,False,False
AudioSet,17233,F-vs-iKnow,I_Frozen-iKnow-05b,F_Fusion-only,0.6441130389369234,0.3075494690419544,0.9690709684906864,486,375,111,4660,11712,861,0.00017434477389146035,0.4737780591987817,0.2893210310539572,0.6561782293864122,0.0013852661186032063,True,True,True
AudioSet,17233,S-vs-iKnow,I_Frozen-iKnow-05b,S_Selector-only,0.6615214994487321,0.2611269076771311,1.073521731561539,712,598,114,4437,11486,1310,0.0017852385933267757,0.1770238691962061,-0.06951526824863208,0.4254387977144365,0.010711431559960655,True,False,True
AudioSet,17233,TFS-vs-iKnow,I_Frozen-iKnow-05b,TFS_AAKV+Fusion+Selector,1.7930714327163002,1.3230429988974641,2.2689026867057387,1027,718,309,4317,11171,1745,1.4447036962095257e-13,0.7551949341304611,0.4549742592328477,1.0490727030254128,2.311525913935241e-12,True,True,True
TUT2017,4680,F-vs-iKnow,I_Frozen-iKnow-05b,F_Fusion-only,2.606837606837607,1.517094017094017,3.6752136752136755,396,274,122,1771,2239,670,2.7736486405690162e-06,1.51007326007326,0.9024184727309728,2.1162622100122097,3.328378368682819e-05,True,True,True
TUT2017,4680,S-vs-iKnow,I_Frozen-iKnow-05b,S_Selector-only,2.735042735042735,1.452991452991453,4.06036324786324,548,420,128,1625,2087,968,4.360976375302467e-05,0.9526098901098903,0.17368551587301576,1.7574385683760685,0.0003924878737772221,True,True,True
TUT2017,4680,TFS-vs-iKnow,I_Frozen-iKnow-05b,TFS_AAKV+Fusion+Selector,9.465811965811966,8.11965811965812,10.811965811965813,765,322,443,1723,1870,1087,3.9025068515011034e-42,4.565103106769774,3.759388778659612,5.357411011056844,7.024512332701987e-41,True,True,True
