dataset,sample_index,audio_path,iKnow_rank,final_rank,Hit@1_transition,delta_reciprocal_rank
ESC-50,0,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100032-A-0.wav,1,1,both_correct,0.0
ESC-50,1,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100038-A-14.wav,1,1,both_correct,0.0
ESC-50,2,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100210-A-36.wav,1,1,both_correct,0.0
ESC-50,3,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-100210-B-36.wav,1,1,both_correct,0.0
ESC-50,4,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101296-A-19.wav,1,1,both_correct,0.0
ESC-50,5,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101296-B-19.wav,1,1,both_correct,0.0
ESC-50,6,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101336-A-30.wav,1,1,both_correct,0.0
ESC-50,7,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-101404-A-34.wav,1,1,both_correct,0.0
ESC-50,8,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-103298-A-9.wav,1,1,both_correct,0.0
ESC-50,9,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-103995-A-30.wav,1,1,both_correct,0.0
ESC-50,10,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-103999-A-30.wav,1,1,both_correct,0.0
ESC-50,11,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-104089-A-22.wav,1,1,both_correct,0.0
ESC-50,12,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-104089-B-22.wav,1,1,both_correct,0.0
ESC-50,13,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-105224-A-22.wav,1,1,both_correct,0.0
ESC-50,14,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-110389-A-0.wav,1,1,both_correct,0.0
ESC-50,15,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-110537-A-22.wav,1,1,both_correct,0.0
ESC-50,16,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115521-A-19.wav,1,1,both_correct,0.0
ESC-50,17,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115545-A-48.wav,1,1,both_correct,0.0
ESC-50,18,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115545-B-48.wav,1,1,both_correct,0.0
ESC-50,19,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115545-C-48.wav,1,1,both_correct,0.0
ESC-50,20,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115546-A-48.wav,1,1,both_correct,0.0
ESC-50,21,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115920-A-22.wav,1,1,both_correct,0.0
ESC-50,22,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115920-B-22.wav,1,1,both_correct,0.0
ESC-50,23,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115921-A-22.wav,1,1,both_correct,0.0
ESC-50,24,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-116765-A-41.wav,1,1,both_correct,0.0
ESC-50,25,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-11687-A-47.wav,1,1,both_correct,0.0
ESC-50,26,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-118206-A-31.wav,1,1,both_correct,0.0
ESC-50,27,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-118559-A-17.wav,1,1,both_correct,0.0
ESC-50,28,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-119125-A-45.wav,1,1,both_correct,0.0
ESC-50,29,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-121951-A-8.wav,1,1,both_correct,0.0
ESC-50,30,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-12653-A-15.wav,1,1,both_correct,0.0
ESC-50,31,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-12654-A-15.wav,1,1,both_correct,0.0
ESC-50,32,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-12654-B-15.wav,1,1,both_correct,0.0
ESC-50,33,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-13571-A-46.wav,1,1,both_correct,0.0
ESC-50,34,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-13572-A-46.wav,1,1,both_correct,0.0
ESC-50,35,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-13613-A-37.wav,1,1,both_correct,0.0
ESC-50,36,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-137-A-32.wav,1,1,both_correct,0.0
ESC-50,37,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-137296-A-16.wav,1,1,both_correct,0.0
ESC-50,38,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-14262-A-37.wav,1,1,both_correct,0.0
ESC-50,39,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-A-25.wav,1,1,both_correct,0.0
ESC-50,40,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-B-25.wav,1,1,both_correct,0.0
ESC-50,41,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-C-25.wav,1,1,both_correct,0.0
ESC-50,42,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-D-25.wav,1,1,both_correct,0.0
ESC-50,43,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-E-25.wav,1,1,both_correct,0.0
ESC-50,44,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-F-25.wav,1,1,both_correct,0.0
