dataset,metric,effect,percentage_points
ESC-50,Hit@1,T,-0.9749999999999979
ESC-50,Hit@1,F,1.6500000000000021
ESC-50,Hit@1,S,2.224999999999998
ESC-50,MRR,T,-0.6506249975000067
ESC-50,MRR,F,0.968958332499998
ESC-50,MRR,S,1.1189583324999965
UrbanSound8K,Hit@1,T,0.7386623924999967
UrbanSound8K,Hit@1,F,0.3779202925000007
UrbanSound8K,Hit@1,S,1.3742556125000007
UrbanSound8K,MRR,T,0.2589612950000024
UrbanSound8K,MRR,F,0.3234749600000022
UrbanSound8K,MRR,S,0.6518647900000012
FSD50K,Hit@1,T,2.9078291450000027
FSD50K,Hit@1,F,0.6353240150000001
FSD50K,Hit@1,S,1.1973414149999986
FSD50K,MRR,T,1.5483439699999941
FSD50K,MRR,F,0.4179679899999975
FSD50K,MRR,S,0.33809800499999554
AudioSet,Hit@1,T,0.5208031100000001
AudioSet,Hit@1,F,0.46277490499999896
AudioSet,Hit@1,S,1.269366915
AudioSet,MRR,T,0.25835463750000365
AudioSet,MRR,F,0.3087867225000007
AudioSet,MRR,S,0.5175017774999997
TUT2017,Hit@1,T,6.5384615375
TUT2017,Hit@1,F,2.2222222224999992
TUT2017,Hit@1,S,3.0769230775
TUT2017,MRR,T,3.2305853900000034
TUT2017,MRR,F,1.4290605199999948
TUT2017,MRR,S,1.5259023399999965
