dataset,metric,effect,percentage_points
ESC-50,Hit@1,T:F,2.1499999999999986
ESC-50,Hit@1,T:S,1.29999999999999
ESC-50,Hit@1,F:S,-1.8499999999999872
ESC-50,Hit@1,T:F:S,-1.5999999999999943
ESC-50,MRR,T:F,1.3695833349999944
ESC-50,MRR,T:S,0.6945833349999972
ESC-50,MRR,F:S,-1.0879166649999874
ESC-50,MRR,T:F:S,-1.01916666999999
UrbanSound8K,Hit@1,T:F,0.7214841950000022
UrbanSound8K,Hit@1,T:S,1.087952355000013
UrbanSound8K,Hit@1,F:S,-0.6413192849999945
UrbanSound8K,Hit@1,T:F:S,-0.8016491100000138
UrbanSound8K,MRR,T:F,0.5824362499999935
UrbanSound8K,MRR,T:S,0.7208161499999974
UrbanSound8K,MRR,F:S,-0.3346885000000057
UrbanSound8K,MRR,T:F:S,-0.3784929000000119
FSD50K,Hit@1,T:F,-0.03909686000000434
FSD50K,Hit@1,T:S,2.1796500800000054
FSD50K,Hit@1,F:S,-0.8405825400000033
FSD50K,Hit@1,T:F:S,-0.31277490000000086
FSD50K,MRR,T:F,0.20943514000000363
FSD50K,MRR,T:S,1.2707125100000027
FSD50K,MRR,F:S,-0.6790678500000027
FSD50K,MRR,T:F:S,0.14073614000001555
AudioSet,Hit@1,T:F,0.34526780000000024
AudioSet,Hit@1,T:S,1.4942262000000017
AudioSet,Hit@1,F:S,-0.5947890699999991
AudioSet,Hit@1,T:F:S,-0.6557186799999961
AudioSet,MRR,T:F,0.2741473249999977
AudioSet,MRR,T:S,0.8967789549999985
AudioSet,MRR,F:S,-0.43814305500000117
AudioSet,MRR,T:F:S,-0.21167134999999604
TUT2017,Hit@1,T:F,0.8974358949999974
TUT2017,Hit@1,T:S,2.4358974449999984
TUT2017,Hit@1,F:S,-0.08547008500000075
TUT2017,Hit@1,T:F:S,3.333333330000009
TUT2017,MRR,T:F,0.8441072799999993
TUT2017,MRR,T:S,1.415330039999997
TUT2017,MRR,F:S,-0.4036287800000089
TUT2017,MRR,T:F:S,2.081982839999988
