dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,incremental_peak_gpu_mib,static_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
01_ESC50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,37.42603905906435,0.5095765815349296,26.719365050141644,35.896484375,28.08984375,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,1,200,44.70975644304417,4.318951676832512,22.366482834096885,35.896484375,28.08984375,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Final-TFS,1,1,200,189.03574043302797,157.3905504279537,5.290004936152708,35.896484375,28.08984375,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,2,200,46.97278133477084,4.963341390248388,21.28892459812181,35.896484375,28.08984375,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Final-TFS,1,2,200,233.87381548120175,196.31155123584904,4.275810004392637,35.896484375,28.08984375,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
01_ESC50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,39.08840013726149,0.5742723669391125,25.583037333030624,35.896484375,28.08984375,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Final-TFS,1,3,200,216.86231971951202,182.00550874113105,4.611220618194032,35.896484375,28.08984375,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
01_ESC50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,33.93921665730886,0.4350905795581639,29.464439621491632,35.896484375,28.08984375,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,3,200,43.57324258831795,3.861693213111721,22.949864196430067,35.896484375,28.08984375,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
01_ESC50,0,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,49.85221069713589,0.7074732938781381,20.059290972575706,35.896484375,28.08984375,1.0,b1fb5cffca7fe9b798b619cf5fefa0079eedc55e54ba6d1cede8f30a9d4e2781,c2ffe37371e6daf0b2ccf717b89d52eb89d9c155f3a384cb5dd799743c4ee28b
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,4,200,48.77355998614803,5.058325775898993,20.502911829360123,35.896484375,28.08984375,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Final-TFS,1,4,200,364.16418806649745,310.5063492275076,2.7460141133301033,35.896484375,28.08984375,1.0,e212198eac4d01a38a3495af1b1f22ef75dc7263f0d707b8aa4d56228e764883,251db89c69900ed3269419feb20bf881d849bfb329ea9aa5ba51f18b898eb68f
01_ESC50,0,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,5,200,42.178424976882525,4.99794834817294,23.70880374381186,35.896484375,28.08984375,1.0,f09c870d6f99cd6a04fb3ed450340b9cbded9c1ff2a7b12b756b823a31f10629,7608bb363a71ebcb40e627715f3be8ac87440ec5442615f8b024821e291bf9b1
