dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,incremental_peak_gpu_mib,static_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,30.91535728832241,0.3814863052684814,32.346383406596686,36.25,6.53125,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,1,200,58.75370035995729,7.581604040460661,17.020204580706462,36.25,6.53125,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,1,1,200,172.55920863419306,142.4730703345267,5.795112343844207,36.25,6.53125,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,2,200,33.85768053471111,3.0467747384682298,29.53539593401248,36.25,6.53125,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,1,2,200,194.12599026807584,159.08028342644684,5.151293748039933,36.25,6.53125,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,41.87083969998639,0.5105062061920762,23.882969798676502,36.25,6.53125,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Final-TFS,1,3,200,189.20639877847861,151.67723944119643,5.285233514595837,36.25,6.53125,1.0,851508284175c9c95f80cce977f8de6ef2ec40306a3bc4bd10af9948edce5b33,d5694bf3d880fdd10892769a2e82afdb2f9a4644aa0fcb3c89802a00425ee8a8
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,44.993859797832556,0.4753742727916688,22.225254834620166,36.25,6.53125,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,3,200,41.729850704432465,3.766940340283327,23.963661099170476,36.25,6.53125,1.0,ab2c0603d8a7d2a45dd0cc01a7d81321fe80b92c6dd3dac477d841f70b62ba05,a4bdb5f80c345fcbc7f9c495eebd16e8e5f62e157f7857a5809ef37066ea7f5c
02_UrbanSound8K,1,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,43.65426685079001,0.48153342271689326,22.90726822690651,36.25,6.53125,1.0,1f1160c057b2a9b58a058444e5557c38544296c9195b25df5d6546bbfa942260,a9e61c9a4681861182687ebe5205483b884249fbb5feb789291c822e1a6e0875
