dataset,method,Hit@1,MRR,delta_Hit@1_vs_iKnow_pp,delta_MRR_vs_iKnow_pp,extra_e2e_ms_vs_iKnow,delta_MRR_pp_per_extra_ms
ESC-50,Frozen-iKnow,91.75000000,94.57216098,0.0,0.0,0.0,
ESC-50,Final-TFS,94.25000000,95.75466098,2.5,1.1824999999999903,216.6751547299791,0.005457478507277973
UrbanSound8K,Frozen-iKnow,84.88318827,91.07799082,0.0,0.0,0.0,
UrbanSound8K,Final-TFS,87.17361429,92.21766864,2.290426019999998,1.1396778200000028,137.2676244971808,0.00830259738357612
FSD50K,Frozen-iKnow,59.83774802,71.80177525,0.0,0.0,0.0,
FSD50K,Final-TFS,64.50004887,74.14136925,4.662300850000001,2.339593999999991,136.85344786243513,0.017095616051644873
AudioSet,Frozen-iKnow,29.21719956,41.53813414,0.0,0.0,0.0,
AudioSet,Final-TFS,31.30621482,42.56985944,2.08901526,1.031725300000005,56.431555049843155,0.01828277280483825
TUT2017,Frozen-iKnow,43.69658120,63.71083617,0.0,0.0,0.0,
TUT2017,Final-TFS,56.36752137,70.41688013,12.670940170000002,6.706043959999995,60.46261375944596,0.11091224052404322
