dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,incremental_peak_gpu_mib,static_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,55.004722707672045,0.7158122200053185,18.18025709018837,36.001953125,68.84375,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,1,200,57.21348617691547,5.546161835081875,17.478396560345953,36.001953125,68.84375,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,1,200,235.3179734252626,189.80048809899017,4.24956914868894,36.001953125,68.84375,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,2,200,49.01071700674947,4.20749279204756,20.403700681675108,36.001953125,68.84375,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,2,200,204.66811406833585,163.49068402138073,4.885958931864266,36.001953125,68.84375,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,58.81239910435397,0.8382312813773751,17.00321726759772,36.001953125,68.84375,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,3,200,254.10251943103503,204.84191482537426,3.9354194607716435,36.001953125,68.84375,1.0,bd9501526da1fc8e9738077e79a636040b66345ddc139676c3389078e31c6f38,3a8e568221e8ea8c42e376c05a1ac407b5788d34c123d2c14f46760d1d8dd779
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,48.727511864271946,0.5941668496234342,20.52228734324564,36.001953125,68.84375,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,3,200,54.02550201572012,5.346060226438567,18.509777099508007,36.001953125,68.84375,1.0,f144af2255c0774bdccb03338645f4ce3b6adb0d3ca7f92ae9d2af1f4cd0b2f2,c7ce312c384e9e8e54e472c896b73c190c801c0f9e4e5598a787177dee3f1e14
03_FSD50K,2,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,53.53278152178973,0.7127447298262268,18.680142738201727,36.001953125,68.84375,1.0,39b6e25dfd0905b9b57fee8566ec8cc1c06700f9d8d812952aea9b53499ee874,e046375b82d7da0bd7675e78e20c1deff7ce27fbf70065a324d841f0ec7099b0
