dataset,physical_gpu_id,gpu_name,method,batch_size,repeat,n_samples,end_to_end_ms_per_sample,knowledge_stage_ms_per_sample,throughput_samples_per_s,incremental_peak_gpu_mib,static_cache_mib,top1_agreement_vs_first_repeat,top1_sha256,full_ranking_sha256_audit
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,1,1,200,29.186063667293638,0.25161953817587346,34.26292806729589,36.25,7.28515625,1.0,24217a3d0a6b7d41b741db6f542998c84847b5676113f62c8dbb0d348b18ac26,826f6b4e597c9993084fe0aad409bd2fb1c0c32f3cb0cfdf20a8d003b6be32fb
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,1,200,30.504802722134627,1.5580864937510341,32.78172322925363,36.25,7.28515625,1.0,97c321b310b7139b646325de22c8be4d5fded38705f5a943e72f4c448d1f0297,df2cbfe3b332068bddcac1a52df21bc7423455997f1495fb3dc96bbfc98cce0d
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,1,200,91.26421727298293,62.363127731950954,10.957196915510405,36.25,7.28515625,1.0,6637380eb97df41db98b11071273696e9d6be29e945e137ea88849b81754dc80,7a189dfb10a3663b9dc0503d5ea0915639652bec2ac6003b1c79c4d7ef9b764e
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,2,200,30.513433761661872,1.5514247375540435,32.772450580649966,36.25,7.28515625,1.0,97c321b310b7139b646325de22c8be4d5fded38705f5a943e72f4c448d1f0297,df2cbfe3b332068bddcac1a52df21bc7423455997f1495fb3dc96bbfc98cce0d
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,2,200,90.66020601661876,61.8144311074866,11.030197745377855,36.25,7.28515625,1.0,6637380eb97df41db98b11071273696e9d6be29e945e137ea88849b81754dc80,7a189dfb10a3663b9dc0503d5ea0915639652bec2ac6003b1c79c4d7ef9b764e
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,1,2,200,29.008674184442498,0.24933219247031957,34.47244757350217,36.25,7.28515625,1.0,24217a3d0a6b7d41b741db6f542998c84847b5676113f62c8dbb0d348b18ac26,826f6b4e597c9993084fe0aad409bd2fb1c0c32f3cb0cfdf20a8d003b6be32fb
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,3,200,90.6820931128459,61.88762034231331,11.027535488793667,36.25,7.28515625,1.0,6637380eb97df41db98b11071273696e9d6be29e945e137ea88849b81754dc80,7a189dfb10a3663b9dc0503d5ea0915639652bec2ac6003b1c79c4d7ef9b764e
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,1,3,200,29.081963048083708,0.25021991692483425,34.38557425943407,36.25,7.28515625,1.0,24217a3d0a6b7d41b741db6f542998c84847b5676113f62c8dbb0d348b18ac26,826f6b4e597c9993084fe0aad409bd2fb1c0c32f3cb0cfdf20a8d003b6be32fb
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,3,200,30.419499862473458,1.5451020549517125,32.87365027436346,36.25,7.28515625,1.0,97c321b310b7139b646325de22c8be4d5fded38705f5a943e72f4c448d1f0297,df2cbfe3b332068bddcac1a52df21bc7423455997f1495fb3dc96bbfc98cce0d
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,1,4,200,29.231277487124316,0.25008401658851653,34.2099314831682,36.25,7.28515625,1.0,24217a3d0a6b7d41b741db6f542998c84847b5676113f62c8dbb0d348b18ac26,826f6b4e597c9993084fe0aad409bd2fb1c0c32f3cb0cfdf20a8d003b6be32fb
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,4,200,30.409704674384557,1.5502662380458787,32.88423911733494,36.25,7.28515625,1.0,97c321b310b7139b646325de22c8be4d5fded38705f5a943e72f4c448d1f0297,df2cbfe3b332068bddcac1a52df21bc7423455997f1495fb3dc96bbfc98cce0d
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,4,200,91.06566920876503,62.18461330223363,10.981086601445085,36.25,7.28515625,1.0,6637380eb97df41db98b11071273696e9d6be29e945e137ea88849b81754dc80,7a189dfb10a3663b9dc0503d5ea0915639652bec2ac6003b1c79c4d7ef9b764e
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,1,5,200,30.370269519044086,1.550642677466385,32.926938609251934,36.25,7.28515625,1.0,97c321b310b7139b646325de22c8be4d5fded38705f5a943e72f4c448d1f0297,df2cbfe3b332068bddcac1a52df21bc7423455997f1495fb3dc96bbfc98cce0d
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,1,5,200,90.85859372571576,61.972556784166954,11.006113555078823,36.25,7.28515625,1.0,6637380eb97df41db98b11071273696e9d6be29e945e137ea88849b81754dc80,7a189dfb10a3663b9dc0503d5ea0915639652bec2ac6003b1c79c4d7ef9b764e
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,1,5,200,29.234940424212255,0.2503668994177133,34.20564521389632,36.25,7.28515625,1.0,24217a3d0a6b7d41b741db6f542998c84847b5676113f62c8dbb0d348b18ac26,826f6b4e597c9993084fe0aad409bd2fb1c0c32f3cb0cfdf20a8d003b6be32fb
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,32,1,200,17.913364645210095,0.15896463592071086,55.824241833171904,1022.0,7.28515625,1.0,be03ae95265b2fb8040a3cd5e7c72aceafe55b7676d2fdfdb7299d0b42cfc862,ae8b5a8152efc1333b1947149030b72b2eb336c70894eb2162ac948435031f02
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,1,200,19.56256053817924,1.4412367390468717,51.11805267251961,1022.0,7.28515625,1.0,988d76fb341cbf4ef4054a0cb996a71f76a411e140291069635d1b49dca3cbe1,7e9ace2b219acc834752457aa4a691bebc93ee264810c5c2de30049d95d211d4
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,1,200,80.30014278541785,62.48675477516372,12.453277980740971,1022.0,7.28515625,1.0,f35243759ffe4b1c631334c4887568297b48059d46c6091e3862d684b4f590ca,e444cfa0b8a6f2e3f14e241bbca4e39a81979bc3c7f5c2a2995ab3af26355d59
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,2,200,19.423281730269082,1.4388275949750096,51.4846056339495,1022.0,7.28515625,1.0,988d76fb341cbf4ef4054a0cb996a71f76a411e140291069635d1b49dca3cbe1,7e9ace2b219acc834752457aa4a691bebc93ee264810c5c2de30049d95d211d4
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,2,200,80.19864825997502,62.387894334387966,12.469038090995769,1022.0,7.28515625,1.0,f35243759ffe4b1c631334c4887568297b48059d46c6091e3862d684b4f590ca,e444cfa0b8a6f2e3f14e241bbca4e39a81979bc3c7f5c2a2995ab3af26355d59
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,32,2,200,17.99413968983572,0.15845705464016646,55.5736488232814,1022.0,7.28515625,1.0,be03ae95265b2fb8040a3cd5e7c72aceafe55b7676d2fdfdb7299d0b42cfc862,ae8b5a8152efc1333b1947149030b72b2eb336c70894eb2162ac948435031f02
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,3,200,79.9224792449968,62.27338440483436,12.512124366594906,1022.0,7.28515625,1.0,f35243759ffe4b1c631334c4887568297b48059d46c6091e3862d684b4f590ca,e444cfa0b8a6f2e3f14e241bbca4e39a81979bc3c7f5c2a2995ab3af26355d59
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,32,3,200,18.122858905117027,0.15985993028152734,55.178932045740744,1022.0,7.28515625,1.0,be03ae95265b2fb8040a3cd5e7c72aceafe55b7676d2fdfdb7299d0b42cfc862,ae8b5a8152efc1333b1947149030b72b2eb336c70894eb2162ac948435031f02
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,3,200,19.265050955000333,1.4425051596481353,51.90746717129473,1022.0,7.28515625,1.0,988d76fb341cbf4ef4054a0cb996a71f76a411e140291069635d1b49dca3cbe1,7e9ace2b219acc834752457aa4a691bebc93ee264810c5c2de30049d95d211d4
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,32,4,200,17.963722564745694,0.15770996978972107,55.66774906458018,1022.0,7.28515625,1.0,be03ae95265b2fb8040a3cd5e7c72aceafe55b7676d2fdfdb7299d0b42cfc862,ae8b5a8152efc1333b1947149030b72b2eb336c70894eb2162ac948435031f02
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,4,200,19.473645985126495,1.4411384798586369,51.351452150448665,1022.0,7.28515625,1.0,988d76fb341cbf4ef4054a0cb996a71f76a411e140291069635d1b49dca3cbe1,7e9ace2b219acc834752457aa4a691bebc93ee264810c5c2de30049d95d211d4
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,4,200,80.13756148517132,62.27766059048008,12.478542913800046,1022.0,7.28515625,1.0,f35243759ffe4b1c631334c4887568297b48059d46c6091e3862d684b4f590ca,e444cfa0b8a6f2e3f14e241bbca4e39a81979bc3c7f5c2a2995ab3af26355d59
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Frozen-iKnow,32,5,200,19.264811865868978,1.4347891503712162,51.908111377494265,1022.0,7.28515625,1.0,988d76fb341cbf4ef4054a0cb996a71f76a411e140291069635d1b49dca3cbe1,7e9ace2b219acc834752457aa4a691bebc93ee264810c5c2de30049d95d211d4
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,Final-TFS,32,5,200,80.21314674522728,62.40220603067428,12.466784318737632,1022.0,7.28515625,1.0,f35243759ffe4b1c631334c4887568297b48059d46c6091e3862d684b4f590ca,e444cfa0b8a6f2e3f14e241bbca4e39a81979bc3c7f5c2a2995ab3af26355d59
06_TUT2017,2,NVIDIA GeForce RTX 4090 D,CLAP,32,5,200,18.35810729477089,0.1587674900656566,54.47184635884764,1022.0,7.28515625,1.0,be03ae95265b2fb8040a3cd5e7c72aceafe55b7676d2fdfdb7299d0b42cfc862,ae8b5a8152efc1333b1947149030b72b2eb336c70894eb2162ac948435031f02
