dataset,n,comparison,baseline,method,delta_Hit@1_pp,Hit@1_CI95_low,Hit@1_CI95_high,wrong_to_correct,correct_to_wrong,net_rescued,McNemar_exact_p,delta_MRR_pp,MRR_CI95_low,MRR_CI95_high,McNemar_Holm_p_family,McNemar_significant_Holm_0.05,Hit@1_CI_excludes_zero,MRR_CI_excludes_zero
ESC-50,2000,T only - iKnow,I_iKnow,T_AAKV,-3.1,-4.35,-1.8499999999999999,51,113,-62,1.4455361416996038e-06,-1.9375,-2.6683333333333334,-1.2258125000000002,2.6019650550592867e-05,True,True,True
ESC-50,2000,F only - iKnow,I_iKnow,F_Fusion,1.0999999999999999,0.5,1.7500000000000002,32,10,22,0.0009406740282429382,0.5733333333333334,0.25666666666666665,0.9066666666666665,0.01034741431067232,True,True,True
ESC-50,2000,S only - iKnow,I_iKnow,S_Selector,2.1,1.2487500000000011,3.0,62,20,42,3.714641593828418e-06,1.0608333333333335,0.5991666666666667,1.5341666666666667,6.314890709508311e-05,True,True,True
ESC-50,2000,add S to TF,TF,TFS_Final,1.55,0.8,2.3,44,13,31,4.7104376093953786e-05,0.6674999999999999,0.26497916666666665,1.0725208333333331,0.0006123568892213992,True,True,True
ESC-50,2000,add F to TS,TS,TFS_Final,1.4000000000000001,0.8999999999999999,1.95,29,1,28,5.774199962615967e-08,0.855,0.5208333333333334,1.2058333333333333,1.1548399925231934e-06,True,True,True
ESC-50,2000,add T to FS,FS,TFS_Final,0.35000000000000003,-0.3,1.0,25,18,7,0.3603776529357674,0.1266666666666667,-0.24752083333333336,0.5041666666666668,1.0,False,False,False
UrbanSound8K,8732,T only - iKnow,I_iKnow,T_AAKV,-0.3664681630783326,-0.9848831882730188,0.25194686211635364,376,408,-32,0.26822076000089906,-0.4872881355932204,-0.8304750725301575,-0.13913383722705777,1.0,False,False,True
UrbanSound8K,8732,F only - iKnow,I_iKnow,F_Fusion,0.1374255611543747,-0.2061383417315621,0.46953733394411357,118,106,12,0.46243638173103185,0.10497785921514734,-0.07119884715223698,0.2796228431821652,1.0,False,False,False
UrbanSound8K,8732,S only - iKnow,I_iKnow,S_Selector,0.9505267979844251,0.46953733394411357,1.4544205222171325,281,198,83,0.00017315826482540078,0.3641777370590929,0.0933062299587723,0.6441870896320048,0.002077899177904809,True,True,True
UrbanSound8K,8732,add S to TF,TF,TFS_Final,1.3971598717361429,0.9505267979844251,1.832340815391663,255,133,122,5.899221879649841e-10,0.7503053901358986,0.5057976408612002,0.9906235684837378,1.3568210323194634e-08,True,True,True
UrbanSound8K,8732,add F to TS,TS,TFS_Final,0.21759047182775995,-0.19468621163536418,0.6298671552908841,178,159,19,0.3268333622992589,0.3527256069628951,0.10707741639945031,0.5928433730340509,1.0,False,False,True
UrbanSound8K,8732,add T to FS,FS,TFS_Final,1.4429683921209346,0.973431058176821,1.9125057260650482,280,154,126,1.5242358091254096e-09,0.8159642693540999,0.5466483432585127,1.0820401969766378,3.20089519916336e-08,True,True,True
FSD50K,10231,T only - iKnow,I_iKnow,T_AAKV,1.7593588114553809,0.9285504838236732,2.5706187078486953,1013,833,180,3.055920215825126e-05,0.8434541784036871,0.3680916985145234,1.3092863132320096,0.0004621002773510943,True,True,True
FSD50K,10231,F only - iKnow,I_iKnow,F_Fusion,0.996969993158049,0.5473560746750072,1.466132342879484,344,242,102,2.8881267334443394e-05,0.6879683821326973,0.4401100122295668,0.9378778967150698,0.0004621002773510943,True,True,True
FSD50K,10231,S only - iKnow,I_iKnow,S_Selector,0.4496139184830417,-0.2150327436223243,1.1240347962076043,633,587,46,0.19760527683157125,0.07745970946049124,-0.30422261393117506,0.46343343116051455,1.0,False,False,False
FSD50K,10231,add S to TF,TF,TFS_Final,1.7886814583129704,1.2120027367803734,2.355585964226371,544,361,183,1.2789999245193975e-09,0.6691043734577242,0.3338837607524421,0.9963168510831624,2.8137998339426745e-08,True,True,True
FSD50K,10231,add F to TS,TS,TFS_Final,0.11729058743035871,-0.2932264685758968,0.5278076434366142,231,219,12,0.604127278728523,0.2183356730066857,-0.030106907085388917,0.46437629549059856,1.0,False,False,False
FSD50K,10231,add T to FS,FS,TFS_Final,3.899912032059427,3.1863942918580785,4.593881341022383,875,476,399,1.051381516074572e-27,2.3236018386517827,1.8825473325397941,2.7590689186098434,3.049006396616259e-26,True,True,True
AudioSet,17233,T only - iKnow,I_iKnow,T_AAKV,-0.5628735565484826,-1.131549933267568,0.0,1178,1275,-97,0.05256369518205489,-0.38002633902433935,-0.7211890376457963,-0.040053002226957964,0.42050956145643914,False,False,True
AudioSet,17233,F only - iKnow,I_iKnow,F_Fusion,0.42360587245401266,0.15087332443567575,0.7021412406429525,322,249,73,0.002555602976289864,0.33786675501153884,0.18624502188863234,0.48707921210727223,0.02300042678660878,True,True,True
AudioSet,17233,S only - iKnow,I_iKnow,S_Selector,0.6557186792781291,0.24371844716532237,1.062061161724596,711,598,113,0.0019527905829608025,0.23526598733798035,-0.015328212954386793,0.4880013063636928,0.019527905829608026,True,True,False
AudioSet,17233,add S to TF,TF,TFS_Final,1.5551558057215806,1.0967330122439505,2.007775779028608,914,646,268,1.2325043251433516e-11,0.6939018888562017,0.41420805775793157,0.9702307287630421,3.081260812858379e-10,True,True,True
AudioSet,17233,add F to TS,TS,TFS_Final,0.17408460511808738,-0.11025358324145534,0.46422561364823306,333,303,30,0.25015494995716425,0.17387102182445516,-0.013092596769699658,0.35344662569688595,1.0,False,False,False
AudioSet,17233,add T to FS,FS,TFS_Final,1.2766204375326409,0.8123948238844079,1.7466488713514767,952,732,220,9.091484504231877e-08,0.7908999431391012,0.4842438758104864,1.103665646349493,1.7273820558040566e-06,True,True,True
TUT2017,4680,T only - iKnow,I_iKnow,T_AAKV,5.705128205128205,4.316239316239316,7.115918803418795,708,441,267,3.209263199184933e-15,2.6213624338624344,1.78848951973952,3.4602761243386237,8.665010637799319e-14,True,True,True
TUT2017,4680,F only - iKnow,I_iKnow,F_Fusion,2.6495726495726495,1.8162393162393164,3.4615384615384617,258,134,124,3.753554959192986e-10,1.7293169793169791,1.2843599109224109,2.174837103482937,9.008531902063167e-09,True,True,True
TUT2017,4680,S only - iKnow,I_iKnow,S_Selector,2.735042735042735,1.4102564102564104,4.017094017094017,548,420,128,4.360976375302467e-05,1.540547415547416,0.7575212403337404,2.314060592185592,0.0006105366925423454,True,True,True
TUT2017,4680,add S to TF,TF,TFS_Final,5.085470085470085,4.188034188034187,5.982905982905983,366,128,238,1.359808065105808e-27,2.552248677248677,2.0205274470899472,3.0882707570207573,3.8074625822962625e-26,True,True,True
TUT2017,4680,add F to TS,TS,TFS_Final,3.4615384615384617,2.5,4.423076923076923,355,193,162,4.280987450666354e-12,2.1697954822954824,1.5555949837199838,2.7684453856328854,1.113056737173252e-10,True,True,True
TUT2017,4680,add T to FS,FS,TFS_Final,9.038461538461538,7.670940170940171,10.384615384615385,762,339,423,5.715543939078351e-38,4.880799755799756,4.020730311355312,5.730663029100529,1.7146631817235053e-36,True,True,True
