dataset,relation,top1_count,top1_percent,included_count,included_percent,in_frozen_iKnow_relation_set
ESC-50,affects,62,3.1,283,14.15,False
ESC-50,associated with environment,17,0.85,151,7.55,False
ESC-50,associated with event,18,0.9,129,6.45,False
ESC-50,belongs to class,35,1.75,125,6.25,True
ESC-50,can be heard in,59,2.95,313,15.65,False
ESC-50,caused by,50,2.5,283,14.15,False
ESC-50,co-occurs with,38,1.9,209,10.45,False
ESC-50,described by,27,1.35,211,10.55,False
ESC-50,emitted by,49,2.45,297,14.85,False
ESC-50,emotionally associated with,39,1.95,143,7.15,False
ESC-50,entails event,54,2.7,191,9.55,False
ESC-50,event composed of,35,1.75,163,8.15,True
ESC-50,follows,82,4.1,347,17.35,False
ESC-50,generated by,46,2.3,173,8.65,False
ESC-50,has children,31,1.55,209,10.45,True
ESC-50,has duration,42,2.1,220,11.0,False
ESC-50,has loudness,31,1.55,212,10.6,False
ESC-50,has parent,10,0.5,119,5.95,True
ESC-50,has pitch,7,0.35,112,5.6,False
ESC-50,has sibling,27,1.35,142,7.1,False
ESC-50,has subtype,51,2.55,265,13.25,False
ESC-50,has timbre,31,1.55,162,8.1,False
ESC-50,indicates,23,1.15,202,10.1,False
ESC-50,invites action,19,0.95,117,5.85,False
ESC-50,is a type of,214,10.7,454,22.7,False
ESC-50,is instance of,28,1.4,264,13.2,False
ESC-50,is sound of,29,1.45,261,13.05,False
ESC-50,is variant of,79,3.95,356,17.8,False
ESC-50,linked to visual,21,1.05,159,7.95,False
ESC-50,localized in,67,3.35,221,11.05,False
ESC-50,occurs in,49,2.45,282,14.1,False
ESC-50,originates from,17,0.85,163,8.15,False
ESC-50,overlaps with,113,5.65,393,19.65,False
ESC-50,part of scene,31,1.55,243,12.15,False
ESC-50,perceived as,2,0.1,92,4.6,True
ESC-50,performed by,32,1.6,160,8.0,False
ESC-50,precedes,74,3.7,299,14.95,False
ESC-50,produced during,30,1.5,167,8.35,False
ESC-50,produces,69,3.45,297,14.85,False
ESC-50,requires attention,23,1.15,150,7.5,False
ESC-50,responds to,60,3.0,224,11.2,False
ESC-50,scene contains,52,2.6,234,11.7,False
ESC-50,temporal component of,19,0.95,124,6.2,False
ESC-50,transcribed as,21,1.05,147,7.35,False
ESC-50,triggers,29,1.45,191,9.55,False
ESC-50,used for,53,2.65,200,10.0,False
ESC-50,warns about,5,0.25,141,7.05,False
UrbanSound8K,affects,97,1.1108566193311955,649,7.4324324324324325,False
UrbanSound8K,associated with environment,42,0.4809894640403115,344,3.939532753092075,True
UrbanSound8K,associated with event,54,0.6184150251946862,349,3.9967934035730646,False
UrbanSound8K,belongs to class,33,0.37792029317453046,517,5.920751259734311,False
UrbanSound8K,can be heard in,128,1.4658726523133303,1107,12.677508016491068,False
UrbanSound8K,caused by,113,1.294090700870362,794,9.092991296381127,False
UrbanSound8K,co-occurs with,236,2.7027027027027026,1310,15.00229042601924,False
UrbanSound8K,described by,179,2.049931287219423,1010,11.566651397159871,False
UrbanSound8K,emitted by,76,0.8703618873110398,680,7.787448465414567,False
UrbanSound8K,emotionally associated with,718,8.222629409070088,1702,19.491525423728813,False
UrbanSound8K,entails event,32,0.3664681630783326,287,3.2867613376087954,False
UrbanSound8K,event composed of,82,0.9390746678882272,656,7.512597343105818,False
UrbanSound8K,follows,572,6.550618415025195,1596,18.277599633531835,False
UrbanSound8K,generated by,144,1.6491067338524965,979,11.211635364177736,False
UrbanSound8K,has children,164,1.8781493357764545,1060,12.139257901969767,False
UrbanSound8K,has duration,162,1.8552450755840586,779,8.921209344938159,False
UrbanSound8K,has loudness,128,1.4658726523133303,1034,11.841502519468621,False
UrbanSound8K,has parent,218,2.4965643609711408,1135,12.998167659184608,False
UrbanSound8K,has pitch,38,0.4351809436555199,862,9.871736142922584,False
UrbanSound8K,has sibling,378,4.328905176362803,1527,17.487402656894183,False
UrbanSound8K,has subtype,131,1.500229042601924,1356,15.529088410444343,False
UrbanSound8K,has timbre,151,1.7292716445258818,1150,13.169949610627576,False
UrbanSound8K,indicates,70,0.8016491067338525,571,6.539166284928997,False
UrbanSound8K,invites action,105,1.2024736601007788,605,6.928538708199725,False
UrbanSound8K,is a type of,1266,14.498396701786533,2166,24.805313788364636,False
UrbanSound8K,is instance of,99,1.1337608795235914,610,6.9857993586807146,False
UrbanSound8K,is sound of,39,0.44663307375171785,711,8.142464498396702,False
UrbanSound8K,is variant of,118,1.3513513513513513,1663,19.044892349977097,False
UrbanSound8K,linked to visual,67,0.7672927164452589,778,8.90975721484196,False
UrbanSound8K,localized in,294,3.3669262482821805,1091,12.4942739349519,True
UrbanSound8K,occurs in,180,2.061383417315621,1006,11.520842876775081,True
UrbanSound8K,originates from,56,0.641319285387082,622,7.123224919835089,False
UrbanSound8K,overlaps with,575,6.584974805313788,2166,24.805313788364636,True
UrbanSound8K,part of scene,65,0.744388456252863,592,6.779661016949152,True
UrbanSound8K,perceived as,51,0.5840586349060926,454,5.199267063673843,False
UrbanSound8K,performed by,112,1.282638570774164,854,9.780119102153,False
UrbanSound8K,precedes,271,3.1035272560696288,1335,15.288593678424187,False
UrbanSound8K,produced during,47,0.538250114521301,465,5.32524049473202,False
UrbanSound8K,produces,281,3.218048557031608,1411,16.158955565735226,False
UrbanSound8K,requires attention,56,0.641319285387082,419,4.798442510306917,False
UrbanSound8K,responds to,27,0.3092075125973431,350,4.008245533669262,False
UrbanSound8K,scene contains,146,1.6720109940448924,647,7.409528172240036,False
