dataset,consensus_votes,vote_fraction_of_pool,n_samples,iKnow_Hit1,TFS_Hit1,delta_Hit1_pp,iKnow_MRR,TFS_MRR,delta_MRR_pp,wrong_to_correct,correct_to_wrong,net_rescued
ESC-50,17,0.3617021276595745,2,50.0,50.0,0.0,66.66666666666666,60.0,-6.666666666666665,0,0,0
ESC-50,19,0.40425531914893614,1,0.0,100.0,100.0,20.0,100.0,80.0,1,0,1
ESC-50,20,0.425531914893617,6,50.0,16.666666666666664,-33.33333333333333,66.66666666666666,43.05555555555555,-23.611111111111114,1,3,-2
ESC-50,21,0.44680851063829785,4,50.0,0.0,-50.0,62.500000000000014,33.33333333333333,-29.166666666666668,0,2,-2
ESC-50,22,0.46808510638297873,4,75.0,75.0,0.0,76.66666666666667,76.66666666666667,0.0,0,0,0
ESC-50,23,0.48936170212765956,2,50.0,50.0,0.0,75.0,75.0,0.0,0,0,0
ESC-50,24,0.5106382978723404,7,85.71428571428571,42.857142857142854,-42.857142857142854,92.85714285714286,69.04761904761905,-23.80952380952381,1,4,-3
ESC-50,25,0.5319148936170213,7,57.14285714285714,57.14285714285714,0.0,78.57142857142857,76.19047619047619,-2.380952380952382,2,2,0
ESC-50,26,0.5531914893617021,7,71.42857142857143,71.42857142857143,0.0,81.42857142857143,81.42857142857143,0.0,1,1,0
ESC-50,27,0.574468085106383,6,66.66666666666666,50.0,-16.666666666666664,79.16666666666666,70.83333333333334,-8.333333333333332,1,2,-1
ESC-50,28,0.5957446808510638,9,55.55555555555556,66.66666666666666,11.11111111111111,72.59259259259258,79.62962962962963,7.037037037037036,1,0,1
ESC-50,29,0.6170212765957447,4,75.0,75.0,0.0,87.5,83.33333333333334,-4.166666666666667,0,0,0
ESC-50,30,0.6382978723404256,9,44.44444444444444,66.66666666666666,22.22222222222222,68.5185185185185,81.48148148148148,12.962962962962965,3,1,2
ESC-50,31,0.6595744680851063,14,50.0,85.71428571428571,35.714285714285715,70.47619047619048,90.71428571428571,20.238095238095237,5,0,5
ESC-50,32,0.6808510638297872,9,44.44444444444444,77.77777777777779,33.33333333333333,72.22222222222221,84.25925925925925,12.037037037037036,4,1,3
ESC-50,33,0.7021276595744681,8,75.0,87.5,12.5,85.41666666666666,93.75,8.333333333333334,1,0,1
ESC-50,34,0.723404255319149,8,62.5,62.5,0.0,77.08333333333333,76.04166666666666,-1.0416666666666656,1,1,0
ESC-50,35,0.7446808510638298,9,88.88888888888889,100.0,11.11111111111111,94.44444444444444,100.0,5.555555555555555,1,0,1
ESC-50,36,0.7659574468085106,12,83.33333333333334,83.33333333333334,0.0,88.88888888888889,89.58333333333334,0.6944444444444448,0,0,0
ESC-50,37,0.7872340425531915,13,84.61538461538461,76.92307692307693,-7.6923076923076925,89.74358974358975,84.61538461538463,-5.128205128205129,0,1,-1
ESC-50,38,0.8085106382978723,27,62.96296296296296,85.18518518518519,22.22222222222222,79.62962962962963,91.35802469135803,11.728395061728396,7,1,6
ESC-50,39,0.8297872340425532,24,70.83333333333334,79.16666666666666,8.333333333333332,83.125,85.90277777777779,2.7777777777777772,4,2,2
ESC-50,40,0.851063829787234,17,70.58823529411765,94.11764705882352,23.52941176470588,83.33333333333334,95.09803921568628,11.76470588235294,4,0,4
ESC-50,41,0.8723404255319149,28,60.71428571428571,78.57142857142857,17.857142857142858,76.42857142857142,85.17857142857143,8.75,5,0,5
ESC-50,42,0.8936170212765957,39,76.92307692307693,94.87179487179486,17.94871794871795,87.82051282051282,97.43589743589743,9.615384615384617,7,0,7
ESC-50,43,0.9148936170212766,45,91.11111111111111,93.33333333333333,2.2222222222222223,93.88888888888889,95.25925925925924,1.3703703703703705,1,0,1
ESC-50,44,0.9361702127659575,61,91.80327868852459,98.36065573770492,6.557377049180328,95.90163934426229,99.18032786885246,3.278688524590164,4,0,4
ESC-50,45,0.9574468085106383,87,90.80459770114942,95.40229885057471,4.597701149425287,95.40229885057471,96.93486590038314,1.532567049808429,5,1,4
ESC-50,46,0.9787234042553191,239,94.97907949790795,96.65271966527197,1.6736401673640167,96.59566375047547,97.37669582857868,0.7810320781032078,4,0,4
ESC-50,47,1.0,1292,96.51702786377709,97.13622291021672,0.6191950464396285,97.06756319711491,97.37716072033471,0.30959752321981426,8,0,8
UrbanSound8K,14,0.2978723404255319,5,0.0,40.0,40.0,26.333333333333332,58.33333333333333,32.0,2,0,2
UrbanSound8K,15,0.3191489361702128,10,20.0,10.0,-10.0,45.0,42.83333333333334,-2.166666666666666,1,2,-1
UrbanSound8K,16,0.3404255319148936,15,33.33333333333333,26.666666666666668,-6.666666666666667,56.2962962962963,50.74074074074073,-5.555555555555556,1,2,-1
UrbanSound8K,17,0.3617021276595745,15,6.666666666666667,53.333333333333336,46.666666666666664,35.16666666666667,66.27777777777779,31.11111111111111,7,0,7
UrbanSound8K,18,0.3829787234042553,17,17.647058823529413,17.647058823529413,0.0,41.07843137254901,42.35294117647058,1.2745098039215692,2,2,0
UrbanSound8K,19,0.40425531914893614,23,43.47826086956522,43.47826086956522,0.0,66.30434782608695,62.02898550724638,-4.27536231884058,5,5,0
UrbanSound8K,20,0.425531914893617,42,26.190476190476193,30.952380952380953,4.761904761904762,52.22222222222223,55.158730158730165,2.9365079365079363,7,5,2
UrbanSound8K,21,0.44680851063829785,26,15.384615384615385,38.46153846153847,23.076923076923077,46.442307692307686,57.85256410256411,11.41025641025641,7,1,6
UrbanSound8K,22,0.46808510638297873,41,39.02439024390244,29.268292682926827,-9.75609756097561,62.68292682926829,57.39837398373982,-5.284552845528456,5,9,-4
UrbanSound8K,23,0.48936170212765956,49,44.89795918367347,42.857142857142854,-2.0408163265306123,66.73469387755102,64.62585034013605,-2.1088435374149666,8,9,-1
UrbanSound8K,24,0.5106382978723404,82,37.80487804878049,45.1219512195122,7.317073170731707,62.950058072009305,67.84843205574913,4.898373983739838,22,16,6
UrbanSound8K,25,0.5319148936170213,75,44.0,46.666666666666664,2.666666666666667,68.66666666666667,67.77777777777779,-0.8888888888888893,20,18,2
UrbanSound8K,26,0.5531914893617021,86,39.53488372093023,45.348837209302324,5.813953488372093,64.88510520487264,68.21843853820599,3.333333333333334,20,15,5
UrbanSound8K,27,0.574468085106383,78,52.56410256410257,48.717948717948715,-3.8461538461538463,72.58547008547008,69.16666666666667,-3.4188034188034186,15,18,-3
UrbanSound8K,28,0.5957446808510638,84,57.14285714285714,47.61904761904761,-9.523809523809524,73.32624716553288,68.40561224489797,-4.92063492063492,10,18,-8
UrbanSound8K,29,0.6170212765957447,71,47.88732394366197,49.29577464788733,1.4084507042253522,69.89995528727923,68.89056561591772,-1.0093896713615025,12,11,1
UrbanSound8K,30,0.6382978723404256,69,53.62318840579711,68.11594202898551,14.492753623188406,73.8486312399356,80.00805152979066,6.159420289855073,15,5,10
UrbanSound8K,31,0.6595744680851063,78,37.17948717948718,60.256410256410255,23.076923076923077,64.86263736263737,77.57631257631257,12.713675213675216,22,4,18
UrbanSound8K,32,0.6808510638297872,71,42.25352112676056,60.56338028169014,18.30985915492958,67.31723675385648,75.76794097920859,8.450704225352112,15,2,13
UrbanSound8K,33,0.7021276595744681,85,51.76470588235295,60.0,8.235294117647058,73.84453781512606,76.43277310924371,2.5882352941176467,11,4,7
UrbanSound8K,34,0.723404255319149,76,64.47368421052632,67.10526315789474,2.631578947368421,79.55043859649123,80.0328947368421,0.4824561403508773,5,3,2
UrbanSound8K,35,0.7446808510638298,86,60.46511627906976,65.11627906976744,4.651162790697675,76.70035068290882,79.89802510151348,3.197674418604652,8,4,4
UrbanSound8K,36,0.7659574468085106,71,69.01408450704226,73.23943661971832,4.225352112676056,80.79588642968925,81.66443103062821,0.8685446009389669,7,4,3
UrbanSound8K,37,0.7872340425531915,86,61.627906976744185,75.5813953488372,13.953488372093023,78.48191214470286,85.41989664082689,6.937984496124031,15,3,12
UrbanSound8K,38,0.8085106382978723,92,64.13043478260869,76.08695652173914,11.956521739130435,79.15760869565219,85.37137681159419,6.213768115942029,15,4,11
