dataset,relation,selected_samples,iKnow_Hit1,TFS_Hit1,delta_Hit1_pp,iKnow_MRR,TFS_MRR,delta_MRR_pp,wrong_to_correct,correct_to_wrong,net_rescued,warning
ESC-50,affects,283,93.63957597173145,94.69964664310953,1.0600706713780919,95.14840314356773,95.49587075251945,0.34746760895170786,5,2,3,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,associated with environment,151,88.74172185430463,91.3907284768212,2.6490066225165565,91.70550258385742,92.75406770527022,1.0485651214128036,5,1,4,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,associated with event,129,86.82170542635659,95.34883720930233,8.527131782945736,92.46770025839794,96.96382428940568,4.496124031007753,12,1,11,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,belongs to class,125,92.80000000000001,97.6,4.8,95.64000000000001,97.97333333333333,2.3333333333333335,6,0,6,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,can be heard in,313,94.88817891373802,96.48562300319489,1.5974440894568689,97.1618743343983,97.77422790202341,0.612353567625133,8,3,5,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,caused by,283,87.27915194346289,87.27915194346289,0.0,90.18636117466649,90.22758614522007,0.04122497055359247,5,5,0,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,co-occurs with,209,91.86602870813397,93.77990430622009,1.9138755980861244,94.41068766427617,95.28788064673232,0.8771929824561405,6,2,4,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,described by,211,83.88625592417061,86.7298578199052,2.843601895734597,87.33398028212636,88.79527570076775,1.46129541864139,6,0,6,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,emitted by,297,88.21548821548821,90.57239057239057,2.356902356902357,91.10724285599979,92.26885901761594,1.1616161616161615,8,1,7,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,emotionally associated with,143,92.3076923076923,98.6013986013986,6.293706293706294,96.03729603729603,99.3006993006993,3.263403263403264,9,0,9,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,entails event,191,90.57591623036649,90.57591623036649,0.0,92.60237965504366,92.48894160966843,-0.1134380453752182,3,3,0,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,event composed of,163,92.63803680981594,94.47852760736197,1.8404907975460123,95.96114519427402,96.95296523517382,0.9918200408997956,7,4,3,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,follows,347,95.10086455331412,96.82997118155619,1.729106628242075,97.03726174225189,97.9258304262096,0.8885686839577328,7,1,6,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,generated by,173,93.0635838150289,98.26589595375722,5.202312138728324,96.26204238921002,98.95953757225433,2.697495183044316,10,1,9,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,has children,209,91.38755980861244,91.86602870813397,0.4784688995215311,93.47388609139242,93.61742676124888,0.14354066985645925,4,3,1,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,has duration,220,95.45454545454545,97.72727272727273,2.272727272727273,97.08452950558214,98.16028708133972,1.0757575757575757,5,0,5,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,has loudness,212,97.16981132075472,97.16981132075472,0.0,98.38836477987421,98.19182389937107,-0.1965408805031447,3,3,0,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,has parent,119,96.63865546218487,96.63865546218487,0.0,97.89915966386555,97.89915966386555,0.0,0,0,0,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,has pitch,112,92.85714285714286,96.42857142857143,3.571428571428571,95.47619047619048,97.38095238095238,1.9047619047619047,5,1,4,descriptive conditional subset; relations co-occur and this is not a causal effect
ESC-50,has sibling,142,94.36619718309859,95.77464788732394,1.4084507042253522,96.94835680751174,97.67605633802816,0.727699530516432,4,2,2,descriptive conditional subset; relations co-occur and this is not a causal effect
