dataset,sample_index,audio_path,true_indices,iKnow_rank,AAKV_only_rank,Selector_only_rank,AAKV_plus_Selector_rank,Full_TFS_rank,TS_selected_relations
ESC-50,963,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/3-144827-A-11.wav,[38],1,5,1,1,1,"[""emotionally associated with"", ""triggers"", ""has subtype"", ""is variant of"", ""precedes""]"
ESC-50,1524,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/4-204119-A-39.wav,[26],1,4,1,1,1,"[""can be heard in"", ""produces"", ""occurs in"", ""overlaps with"", ""has children""]"
ESC-50,1523,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/4-204115-A-39.wav,[26],1,4,1,1,1,"[""overlaps with"", ""precedes"", ""produces"", ""has children"", ""co-occurs with""]"
ESC-50,1405,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/4-181362-A-13.wav,[15],1,4,1,1,1,"[""can be heard in"", ""emitted by"", ""entails event"", ""linked to visual"", ""associated with environment""]"
ESC-50,1084,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/3-164630-A-11.wav,[38],3,4,1,1,1,"[""is variant of"", ""has subtype"", ""warns about"", ""is a type of"", ""temporal component of""]"
ESC-50,418,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/2-102852-A-11.wav,[38],3,4,1,1,1,"[""temporal component of"", ""has children"", ""emitted by"", ""is variant of"", ""has subtype""]"
ESC-50,374,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-85184-A-39.wav,[26],1,4,1,1,1,"[""can be heard in"", ""occurs in"", ""follows"", ""has children"", ""emitted by""]"
ESC-50,95,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-20133-A-39.wav,[26],1,4,1,1,1,"[""has pitch"", ""has subtype"", ""described by"", ""is a type of"", ""co-occurs with""]"
ESC-50,1918,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/5-243449-A-14.wav,[7],1,3,1,1,1,"[""follows"", ""produces"", ""emotionally associated with"", ""requires attention"", ""originates from""]"
ESC-50,1904,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/5-238492-A-23.wav,[1],1,3,1,1,1,"[""requires attention"", ""generated by"", ""can be heard in"", ""entails event"", ""part of scene""]"
UrbanSound8K,4495,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold6/184805-0-0-51.wav,[0],3,5,1,1,1,"[""emotionally associated with"", ""overlaps with"", ""produced during"", ""produces"", ""requires attention""]"
UrbanSound8K,6876,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold1/57320-0-0-7.wav,[0],3,4,1,1,1,"[""temporal component of"", ""performed by"", ""emotionally associated with"", ""perceived as"", ""originates from""]"
UrbanSound8K,6871,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold1/57320-0-0-4.wav,[0],4,4,1,1,1,"[""temporal component of"", ""performed by"", ""emotionally associated with"", ""perceived as"", ""emitted by""]"
UrbanSound8K,6854,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold1/57320-0-0-0.wav,[0],3,4,1,1,1,"[""emotionally associated with"", ""is a type of"", ""produced during"", ""localized in"", ""affects""]"
UrbanSound8K,6815,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold4/55018-0-0-246.wav,[0],1,4,1,1,1,"[""emotionally associated with"", ""has duration"", ""has parent"", ""has sibling"", ""temporal component of""]"
UrbanSound8K,6805,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold4/55018-0-0-110.wav,[0],2,4,1,1,1,"[""emotionally associated with"", ""overlaps with"", ""produces"", ""is instance of"", ""invites action""]"
UrbanSound8K,6247,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold8/36429-2-0-14.wav,[2],1,4,4,1,1,"[""has timbre"", ""produces"", ""requires attention"", ""precedes"", ""triggers""]"
