dataset,selector_consensus_stratum,n,vote_min,vote_max,AAKV_effect_TS_minus_S_Hit@1_pp,AAKV_effect_TS_minus_S_MRR_pp
ESC-50,low_consensus_bottom25,500,13.0,42.0,-4.2,-3.1
ESC-50,middle50,707,43.0,46.0,0.14144271570014144,0.1178689297501179
ESC-50,high_consensus_top25,793,47.0,47.0,0.0,0.0
UrbanSound8K,low_consensus_bottom25,2303,13.0,37.0,1.5197568389057752,0.21710811984368192
UrbanSound8K,middle50,3896,38.0,46.0,1.3860369609856265,0.703713210130048
UrbanSound8K,high_consensus_top25,2533,47.0,47.0,0.35530990919857874,0.17765495459928937
FSD50K,low_consensus_bottom25,2636,11.0,26.0,2.314112291350531,0.8969122350641395
FSD50K,middle50,4962,27.0,42.0,6.590084643288996,3.4333733577989927
FSD50K,high_consensus_top25,2633,43.0,47.0,1.1773642233194077,0.573279318057138
AudioSet,low_consensus_bottom25,4360,10.0,22.0,-1.4908256880733946,-0.9313068430040908
AudioSet,middle50,8119,23.0,35.0,2.1677546495873874,1.1069397987882588
AudioSet,high_consensus_top25,4754,36.0,47.0,2.2297013041649136,1.2205127730598542
TUT2017,low_consensus_bottom25,1178,11.0,25.0,2.9711375212224107,0.6104980192416528
TUT2017,middle50,2325,26.0,41.0,10.32258064516129,5.224628776241679
TUT2017,high_consensus_top25,1177,42.0,47.0,2.3789294817332203,0.9799935267224988
