dataset,comparison,delta_Hit@1_pp,Hit@1_CI95_low,Hit@1_CI95_high,wrong_to_correct,correct_to_wrong,McNemar_exact_p,delta_MRR_pp,MRR_CI95_low,MRR_CI95_high
ESC-50,AAKV-TFS vs Direct-FS,0.35000000000000003,-0.3,1.0,25,18,0.3603776529357674,0.1266666666666667,-0.24668750000000003,0.5066666666666666
ESC-50,AAKV-TFS vs Raw-FS,0.15,-0.5,0.8,25,22,0.7708669945730263,-0.010000000000000042,-0.3983541666666667,0.370020833333333
UrbanSound8K,AAKV-TFS vs Direct-FS,1.4429683921209346,0.9848831882730188,1.9125057260650482,280,154,1.5242358091254096e-09,0.8159642693540999,0.5544691937700411,1.0847171323866238
UrbanSound8K,AAKV-TFS vs Raw-FS,0.744388456252863,0.2863032524049473,1.2024736601007788,235,170,0.0014415346552955261,0.42926400977248436,0.16204764086120022,0.7056420827607267
FSD50K,AAKV-TFS vs Direct-FS,3.899912032059427,3.1961685074772745,4.593881341022383,875,476,1.051381516074572e-27,2.3236018386517827,1.8861279379972924,2.7572168776058694
FSD50K,AAKV-TFS vs Raw-FS,4.91643045645587,4.193138500635324,5.629948196657218,968,465,5.859785066177609e-41,3.1464846040401104,2.6882806248395847,3.5948813094603285
AudioSet,AAKV-TFS vs Direct-FS,1.2766204375326409,0.8123948238844079,1.7408460511808739,952,732,9.091484504231877e-08,0.7908999431391012,0.48176993695718867,1.1048740566075625
AudioSet,AAKV-TFS vs Raw-FS,2.0600011605640343,1.6014332965821392,2.541635234724076,1043,688,1.3629560375476502e-17,1.5564204074383674,1.2414488512998796,1.8711876403714016
TUT2017,AAKV-TFS vs Direct-FS,9.038461538461538,7.670940170940171,10.405982905982906,762,339,5.715543939078351e-38,4.880799755799756,4.04482727920228,5.731731405168905
TUT2017,AAKV-TFS vs Raw-FS,8.376068376068375,7.02991452991453,9.743589743589745,716,324,1.2491028207321331e-34,5.571396196396196,4.70106034012284,6.448059405871906
