dataset,comparison,delta_Hit@1_pp,Hit@1_CI_low,Hit@1_CI_high,rescued,harmed,McNemar_p,delta_MRR_pp,MRR_CI_low,MRR_CI_high
ESC-50,AAKV-Selector5 vs AAKV-FrozenRq,1.55,0.8,2.3,44,13,4.7104376093953786e-05,0.6674999999999999,0.26416666666666666,1.0716666666666663
ESC-50,AAKV-Selector5 vs AAKV-Frequency5,1.4000000000000001,0.75,2.0500000000000003,37,9,4.0560361327379724e-05,0.5266666666666667,0.16666666666666666,0.8991874999999997
ESC-50,AAKV-Selector5 vs AAKV-Random5-s42,2.0500000000000003,1.4000000000000001,2.75,44,3,2.4647306418046355e-10,1.0100000000000002,0.6524791666666666,1.3975000000000002
ESC-50,AAKV-Selector5 vs AAKV-Random5-s43,1.7500000000000002,1.0999999999999999,2.45,41,6,1.7716986633331544e-07,0.8391666666666665,0.4816666666666667,1.21
ESC-50,AAKV-Selector5 vs AAKV-Random5-s44,1.6,0.95,2.25,39,7,1.831543272601266e-06,0.7250000000000001,0.36914583333333334,1.0958333333333334
UrbanSound8K,AAKV-Selector5 vs AAKV-FrozenRq,1.3971598717361429,0.9505267979844251,1.832340815391663,255,133,5.899221879649841e-10,0.7503053901358986,0.5044424721331502,0.9915635974958007
UrbanSound8K,AAKV-Selector5 vs AAKV-Frequency5,2.0728355474118185,1.603298213467705,2.5423728813559325,310,129,2.8432823170152337e-18,1.1742250725301573,0.9102487020919222,1.4362927546190258
UrbanSound8K,AAKV-Selector5 vs AAKV-Random5-s42,1.0192395785616124,0.5840586349060926,1.4544205222171325,233,144,5.308692687170117e-06,0.5285158039395327,0.2817224003664681,0.7705470300809282
UrbanSound8K,AAKV-Selector5 vs AAKV-Random5-s43,1.294090700870362,0.858909757214842,1.729271644525882,250,137,9.866501317320652e-09,0.7052603450908536,0.4582522140784854,0.9543632615666513
UrbanSound8K,AAKV-Selector5 vs AAKV-Random5-s44,1.156665139715987,0.7214841960604673,1.580393953275309,235,134,1.6292261172695488e-07,0.5937929454878609,0.3490704687738586,0.8323885326003968
FSD50K,AAKV-Selector5 vs AAKV-FrozenRq,2.0232626331736876,1.4563581272602872,2.590167139087088,552,345,4.904644504808164e-12,0.8179330260983207,0.4861967324642039,1.1456700702357019
FSD50K,AAKV-Selector5 vs AAKV-Frequency5,1.8961978301241325,1.3488417554491252,2.4435539047991397,507,313,1.279775864474228e-11,0.8818507662801003,0.563168546333814,1.1966692872396685
FSD50K,AAKV-Selector5 vs AAKV-Random5-s42,1.1924543055419803,0.6548724464861695,1.730036164597791,460,338,1.7772767397144797e-05,0.4863648668495829,0.17213911210789837,0.7959392093245196
FSD50K,AAKV-Selector5 vs AAKV-Random5-s43,1.3977128335451081,0.8601309744892972,1.935294692600919,475,332,5.410330293434694e-07,0.6099420520531976,0.3004839872395001,0.9200809706133998
FSD50K,AAKV-Selector5 vs AAKV-Random5-s44,1.1435832274459974,0.5864529371517936,1.7007135177402013,467,350,4.807838840307138e-05,0.46714340910794144,0.14439531857077847,0.7850195918016755
AudioSet,AAKV-Selector5 vs AAKV-FrozenRq,1.6828178494748447,1.2360006963384205,2.1238321824406663,915,625,1.514366562059135e-13,0.7619602132434178,0.4875410422363797,1.032232135053045
AudioSet,AAKV-Selector5 vs AAKV-Frequency5,1.3868740207740962,0.9806766088318923,1.781465792375094,760,521,2.5818858359405983e-11,0.5428276365230708,0.29258919433550523,0.7863709351515883
AudioSet,AAKV-Selector5 vs AAKV-Random5-s42,1.2998317182150525,0.8936343062728487,1.7118319503278592,750,526,3.8880649113329136e-10,0.5838827246383902,0.33406537560013566,0.8320069295964247
AudioSet,AAKV-Selector5 vs AAKV-Random5-s43,1.4507050426507284,1.0329019903673184,1.8743109151047408,795,545,9.006081210083297e-12,0.6070081921868501,0.35611669239182764,0.8605787147071398
AudioSet,AAKV-Selector5 vs AAKV-Random5-s44,1.7118319503278592,1.2998317182150525,2.135437822781872,805,510,3.9097567739575803e-16,0.7572758457443295,0.5098676706930853,1.008051994316355
TUT2017,AAKV-Selector5 vs AAKV-FrozenRq,5.085470085470085,4.166666666666666,6.004273504273504,366,128,1.359808065105808e-27,2.552248677248677,2.009382631257631,3.099391407203907
TUT2017,AAKV-Selector5 vs AAKV-Frequency5,6.282051282051282,5.256410256410256,7.307692307692308,458,164,4.3433273084951093e-33,3.412265974765975,2.8206132987382984,4.018261599511599
TUT2017,AAKV-Selector5 vs AAKV-Random5-s42,4.722222222222222,3.6752136752136755,5.769230769230769,421,200,4.503636878747666e-19,2.2083248541581875,1.5871563814272147,2.820382453194953
TUT2017,AAKV-Selector5 vs AAKV-Random5-s43,4.5085470085470085,3.5256410256410255,5.512820512820513,381,170,1.3130703001044066e-19,2.1578907203907205,1.5754139957264959,2.7541819291819287
TUT2017,AAKV-Selector5 vs AAKV-Random5-s44,4.594017094017095,3.5897435897435894,5.598290598290599,399,184,3.0651820801829694e-19,2.169057794057794,1.578402269027269,2.762220187220187
