dataset,method,Hit@1,Hit@3,Hit@5,MRR
ESC-50,CLAP,91.10000000,96.75000000,97.65000000,94.10549431
ESC-50,I_iKnow,91.75000000,97.05000000,97.65000000,94.57216098
ESC-50,TFS_Final,94.25000000,96.80000000,97.65000000,95.75466098
UrbanSound8K,CLAP,83.76087952,96.59871736,98.64864865,90.40346036
UrbanSound8K,I_iKnow,84.88318827,96.77049931,98.64864865,91.07799082
UrbanSound8K,TFS_Final,87.17361429,96.89647274,98.64864865,92.21766864
FSD50K,CLAP,57.34532304,79.65008308,86.34542078,70.16715548
FSD50K,I_iKnow,59.83774802,80.72524680,86.51158245,71.80177525
FSD50K,TFS_Final,64.50004887,80.57863356,86.46271137,74.14136925
AudioSet,CLAP,28.65432600,46.35873034,54.80183369,41.05863903
AudioSet,I_iKnow,29.21719956,47.04346312,54.86566471,41.53813414
AudioSet,TFS_Final,31.30621482,46.93320954,54.85986189,42.56985944
TUT2017,CLAP,40.49145299,75.02136752,91.66666667,60.25079852
TUT2017,I_iKnow,43.69658120,79.55128205,92.11538462,63.71083617
TUT2017,TFS_Final,56.36752137,80.40598291,91.53846154,70.41688013
