dataset,method,display,Hit@1,Hit@3,Hit@5,MRR
ESC-50,CLAP,CLAP,91.10000000000001,96.75,97.65,94.10549431018471
ESC-50,I_iKnow,Frozen-iKnow,91.75,97.05,97.65,94.57216097685136
ESC-50,T_AAKV,+AAKV only,88.64999999999999,95.89999999999999,97.65,92.63466097685138
ESC-50,F_Fusion,+Fusion only,92.85,97.1,97.65,95.1454943101847
ESC-50,S_Selector,+Selector only,93.85,97.05,97.7,95.63299431018473
ESC-50,TF,AAKV+Fusion,92.7,97.0,97.65,95.08716097685137
ESC-50,TS,AAKV+Selector,92.85,96.3,97.65,94.89966097685138
ESC-50,FS,Fusion+Selector (Direct),93.89999999999999,97.05,97.65,95.6279943101847
ESC-50,Raw-FS,Fusion+Selector (RawTriple),94.1,97.1,97.65,95.76466097685137
ESC-50,TFS_Final,AAKV+Fusion+Selector,94.25,96.8,97.65,95.75466097685138
UrbanSound8K,CLAP,CLAP,83.7608795235914,96.59871736142922,98.64864864864865,90.40346036108747
UrbanSound8K,I_iKnow,Frozen-iKnow,84.88318827301879,96.77049931287219,98.64864864864865,91.07799082375354
UrbanSound8K,T_AAKV,+AAKV only,84.51672010994045,96.14063215758131,98.64864864864865,90.59070268816032
UrbanSound8K,F_Fusion,+Fusion only,85.02061383417315,96.86211635364178,98.64864864864865,91.18296868296868
UrbanSound8K,S_Selector,+Selector only,85.8337150710032,96.35822262940907,98.64864864864865,91.44216856081263
UrbanSound8K,TF,AAKV+Fusion,85.77645442052221,96.56436097114063,98.64864864864865,91.46736324702427
UrbanSound8K,TS,AAKV+Selector,86.9560238204306,96.09482363719651,98.64864864864865,91.86494303019728
UrbanSound8K,FS,Fusion+Selector (Direct),85.73064590013743,96.59871736142922,98.64864864864865,91.40170436780606
UrbanSound8K,Raw-FS,Fusion+Selector (RawTriple),86.4292258360055,96.81630783325699,98.64864864864865,91.78840462738769
UrbanSound8K,TFS_Final,AAKV+Fusion+Selector,87.17361429225836,96.89647274393037,98.64864864864865,92.21766863716016
FSD50K,CLAP,CLAP,57.34532303782621,79.65008308083277,86.3454207799824,70.16715547600259
FSD50K,I_iKnow,Frozen-iKnow,59.837748020721335,80.72524679894438,86.51158244550875,71.80177524962457
FSD50K,T_AAKV,+AAKV only,61.59710683217672,80.62750464275243,86.46271136741277,72.64522942802824
FSD50K,F_Fusion,+Fusion only,60.83471801387938,81.24328022676181,86.6679698954159,72.48974363175726
FSD50K,S_Selector,+Selector only,60.287361939204374,79.96285798064704,86.38451764245919,71.87923495908505
FSD50K,TF,AAKV+Fusion,62.71136741276513,81.21395757990422,86.58000195484313,73.47226488022254
FSD50K,TS,AAKV+Selector,64.38275828364773,80.02150327436223,86.41384028931678,73.92303358067358
FSD50K,FS,Fusion+Selector (Direct),60.60013683901867,79.67940572769035,86.38451764245919,71.81776741502847
FSD50K,Raw-FS,Fusion+Selector (RawTriple),59.58361841462223,78.93656534063142,86.17925911445606,70.99488464964016
FSD50K,TFS_Final,AAKV+Fusion+Selector,64.50004887107809,80.57863356465643,86.46271136741277,74.14136925368025
AudioSet,CLAP,CLAP,28.654326002437188,46.35873034294667,54.801833691173904,41.05863903283147
AudioSet,I_iKnow,Frozen-iKnow,29.21719955898567,47.043463123077814,54.86566471305054,41.538134138061736
AudioSet,T_AAKV,+AAKV only,28.654326002437188,46.730110833865254,54.801833691173904,41.1581077990374
AudioSet,F_Fusion,+Fusion only,29.64080543143968,47.478674635873034,55.14420008123948,41.876000893073275
AudioSet,S_Selector,+Selector only,29.872918238263797,46.67788545232983,55.00493239714501,41.773400125399725
AudioSet,TF,AAKV+Fusion,29.751059014681136,47.09568850461324,54.92949573492717,41.875957554891535
AudioSet,TS,AAKV+Selector,31.132130215284626,46.48639238669994,54.90048163407416,42.39598842192328
AudioSet,FS,Fusion+Selector (Direct),30.029594382870073,46.34132188243487,54.93529855509778,41.778959500608636
AudioSet,Raw-FS,Fusion+Selector (RawTriple),29.24621365983868,45.33743399292056,54.33760807752568,41.01343903630937
AudioSet,TFS_Final,AAKV+Fusion+Selector,31.306214820402715,46.93320953983636,54.859861892879934,42.569859443747745
TUT2017,CLAP,CLAP,40.491452991452995,75.02136752136752,91.66666666666666,60.25079852483699
TUT2017,I_iKnow,Frozen-iKnow,43.6965811965812,79.55128205128204,92.11538461538461,63.71083617237463
TUT2017,T_AAKV,+AAKV only,49.401709401709404,78.80341880341881,91.68803418803418,66.33219860623707
TUT2017,F_Fusion,+Fusion only,46.34615384615385,79.95726495726497,92.008547008547,65.44015315169162
TUT2017,S_Selector,+Selector only,46.43162393162393,80.38461538461539,92.008547008547,65.25138358792204
TUT2017,TF,AAKV+Fusion,51.28205128205128,80.94017094017094,91.58119658119658,67.8646314511699
TUT2017,TS,AAKV+Selector,52.90598290598291,78.88888888888889,91.68803418803418,68.24708464612311
TUT2017,FS,Fusion+Selector (Direct),47.32905982905983,80.51282051282051,92.07264957264957,65.53608037261883
TUT2017,Raw-FS,Fusion+Selector (RawTriple),47.991452991452995,76.62393162393163,91.6025641025641,64.84548393202239
TUT2017,TFS_Final,AAKV+Fusion+Selector,56.36752136752137,80.40598290598291,91.53846153846153,70.4168801284186
