dataset,contrast,baseline,method,delta_Hit@1_pp,Hit@1_CI_low,Hit@1_CI_high,rescued,harmed,McNemar_p,delta_MRR_pp,MRR_CI_low,MRR_CI_high
ESC-50,"Fusion | Direct, FixedRq",I_iKnow,F_Fusion,1.0999999999999999,0.5,1.7500000000000002,32,10,0.0009406740282429382,0.5733333333333334,0.2583125,0.895
ESC-50,"Fusion | AAKV, FixedRq",T_AAKV,TF,4.05,3.15,4.95,85,4,8.269208261418977e-21,2.4524999999999997,1.9433125,2.9616874999999996
ESC-50,"Fusion | Direct, Selector",S_Selector,FS,0.05,-0.4,0.44999999999999996,10,9,1.0,-0.004999999999999999,-0.25083333333333335,0.2316666666666667
ESC-50,"Fusion | AAKV, Selector",TS,TFS_Final,1.4000000000000001,0.8999999999999999,1.95,29,1,5.774199962615967e-08,0.855,0.5233333333333334,1.215
ESC-50,"AAKV | joint fusion, FixedRq",I_iKnow,T_AAKV,-3.1,-4.35,-1.8499999999999999,51,113,1.4455361416996038e-06,-1.9375,-2.663333333333333,-1.2291458333333336
ESC-50,"AAKV | Fusion, FixedRq",F_Fusion,TF,-0.15,-1.0,0.7000000000000001,38,41,0.8221442424521863,-0.05833333333333335,-0.5316875,0.4108333333333334
ESC-50,"AAKV | joint fusion, Selector",S_Selector,TS,-1.0,-1.8499999999999999,-0.2,26,46,0.02446090732832437,-0.7333333333333334,-1.2400208333333336,-0.24497916666666697
ESC-50,"AAKV | Fusion, Selector",FS,TFS_Final,0.35000000000000003,-0.3,1.0,25,18,0.3603776529357674,0.1266666666666667,-0.24583333333333332,0.502520833333333
ESC-50,"Selector | Direct, joint fusion",I_iKnow,S_Selector,2.1,1.2487500000000011,3.0,62,20,3.714641593828418e-06,1.0608333333333335,0.6,1.5391666666666668
ESC-50,"Selector | AAKV, joint fusion",T_AAKV,TS,4.2,3.15,5.25,103,19,3.7616493492859476e-15,2.265,1.6857916666666666,2.8708541666666667
ESC-50,"Selector | Direct, Fusion",F_Fusion,FS,1.05,0.44999999999999996,1.7000000000000002,32,11,0.001913961001264397,0.48250000000000004,0.13914583333333336,0.8425
ESC-50,"Selector | AAKV, Fusion",TF,TFS_Final,1.55,0.8500000000000001,2.3,44,13,4.7104376093953786e-05,0.6674999999999999,0.2716458333333333,1.0758333333333334
