dataset,method,Hit@1,Hit@3,Hit@5,MRR
ESC-50,Direct-FS,93.89999999999999,97.05,97.65,95.6279943101847
ESC-50,Raw-FS,94.1,97.1,97.65,95.76466097685137
ESC-50,AAKV-TFS,94.25,96.8,97.65,95.75466097685138
UrbanSound8K,Direct-FS,85.73064590013743,96.59871736142922,98.64864864864865,91.40170436780606
UrbanSound8K,Raw-FS,86.4292258360055,96.81630783325699,98.64864864864865,91.78840462738769
UrbanSound8K,AAKV-TFS,87.17361429225836,96.89647274393037,98.64864864864865,92.21766863716016
FSD50K,Direct-FS,60.60013683901867,79.67940572769035,86.38451764245919,71.81776741502847
FSD50K,Raw-FS,59.58361841462223,78.93656534063142,86.17925911445606,70.99488464964016
FSD50K,AAKV-TFS,64.50004887107809,80.57863356465643,86.46271136741277,74.14136925368025
AudioSet,Direct-FS,30.029594382870073,46.34132188243487,54.93529855509778,41.778959500608636
AudioSet,Raw-FS,29.24621365983868,45.33743399292056,54.33760807752568,41.01343903630937
AudioSet,AAKV-TFS,31.306214820402715,46.93320953983636,54.859861892879934,42.569859443747745
TUT2017,Direct-FS,47.32905982905983,80.51282051282051,92.07264957264957,65.53608037261883
TUT2017,Raw-FS,47.991452991452995,76.62393162393163,91.6025641025641,64.84548393202239
TUT2017,AAKV-TFS,56.36752136752137,80.40598290598291,91.53846153846153,70.4168801284186
