panel,dataset,method,Hit@1,Hit@3,Hit@5,MRR
A: fixed iKnow aggregation and FrozenRq,ESC-50,iKnow-05-Direct,91.75,97.05,97.65,94.57216098
A: fixed iKnow aggregation and FrozenRq,ESC-50,RawTriple,89.5,96.85,97.65,93.41382764
A: fixed iKnow aggregation and FrozenRq,ESC-50,Qwen-General,88.0,96.1,97.65,92.34049431
A: fixed iKnow aggregation and FrozenRq,ESC-50,AAKV,88.65,95.9,97.65,92.63466098
B: frozen Fusion+Selector system,ESC-50,Direct-FS,93.89999999999999,97.05,97.65,95.6279943101847
B: frozen Fusion+Selector system,ESC-50,Raw-FS,94.1,97.1,97.65,95.76466097685137
B: frozen Fusion+Selector system,ESC-50,AAKV-TFS,94.25,96.8,97.65,95.75466097685138
A: fixed iKnow aggregation and FrozenRq,UrbanSound8K,iKnow-05-Direct,84.65414567,96.67888227,98.63719652,90.9579116
A: fixed iKnow aggregation and FrozenRq,UrbanSound8K,RawTriple,84.3220339,96.82775996,98.63719652,90.63801544
A: fixed iKnow aggregation and FrozenRq,UrbanSound8K,Qwen-General,80.897847,96.30096198,98.63719652,88.79842161
A: fixed iKnow aggregation and FrozenRq,UrbanSound8K,AAKV,84.31058177,96.20934494,98.63719652,90.50879724
B: frozen Fusion+Selector system,UrbanSound8K,Direct-FS,85.73064590013743,96.59871736142922,98.64864864864865,91.40170436780606
B: frozen Fusion+Selector system,UrbanSound8K,Raw-FS,86.4292258360055,96.81630783325699,98.64864864864865,91.78840462738769
B: frozen Fusion+Selector system,UrbanSound8K,AAKV-TFS,87.17361429225836,96.89647274393037,98.64864864864865,92.21766863716016
A: fixed iKnow aggregation and FrozenRq,FSD50K,iKnow-05-Direct,59.46632783,80.43202033,86.34542078,71.50410143
A: fixed iKnow aggregation and FrozenRq,FSD50K,RawTriple,57.18893559,80.14856808,86.23790441,70.190681
A: fixed iKnow aggregation and FrozenRq,FSD50K,Qwen-General,60.23849086,80.45156876,86.15971068,71.86508947
A: fixed iKnow aggregation and FrozenRq,FSD50K,AAKV,61.32342879,80.54931092,86.19880755,72.44537146
B: frozen Fusion+Selector system,FSD50K,Direct-FS,60.60013683901867,79.67940572769035,86.38451764245919,71.81776741502847
B: frozen Fusion+Selector system,FSD50K,Raw-FS,59.58361841462223,78.93656534063142,86.17925911445606,70.99488464964016
B: frozen Fusion+Selector system,FSD50K,AAKV-TFS,64.50004887107809,80.57863356465643,86.46271136741277,74.14136925368025
A: fixed iKnow aggregation and FrozenRq,AudioSet,iKnow-05-Direct,29.13596008,46.78813904,54.63355191,41.40987727
A: fixed iKnow aggregation and FrozenRq,AudioSet,RawTriple,27.37770556,45.85388499,54.44786166,40.16268988
A: fixed iKnow aggregation and FrozenRq,AudioSet,Qwen-General,28.21331167,46.54442059,54.76701677,40.84552697
A: fixed iKnow aggregation and FrozenRq,AudioSet,AAKV,28.36418499,46.8345616,54.63355191,41.02061626
B: frozen Fusion+Selector system,AudioSet,Direct-FS,30.029594382870073,46.34132188243487,54.93529855509778,41.778959500608636
B: frozen Fusion+Selector system,AudioSet,Raw-FS,29.24621365983868,45.33743399292056,54.33760807752568,41.01343903630937
B: frozen Fusion+Selector system,AudioSet,AAKV-TFS,31.306214820402715,46.93320953983636,54.859861892879934,42.569859443747745
A: fixed iKnow aggregation and FrozenRq,TUT2017,iKnow-05-Direct,43.63247863,79.80769231,92.00854701,63.85836848
A: fixed iKnow aggregation and FrozenRq,TUT2017,RawTriple,47.90598291,79.05982906,92.00854701,65.68920894
A: fixed iKnow aggregation and FrozenRq,TUT2017,Qwen-General,41.06837607,75.2991453,91.4957265,60.84980452
A: fixed iKnow aggregation and FrozenRq,TUT2017,AAKV,48.97435897,79.05982906,91.64529915,66.24551066
B: frozen Fusion+Selector system,TUT2017,Direct-FS,47.32905982905983,80.51282051282051,92.07264957264957,65.53608037261883
B: frozen Fusion+Selector system,TUT2017,Raw-FS,47.991452991452995,76.62393162393163,91.6025641025641,64.84548393202239
B: frozen Fusion+Selector system,TUT2017,AAKV-TFS,56.36752136752137,80.40598290598291,91.53846153846153,70.4168801284186
