Dataset,Relation,Selected count,Selected share (%),In FrozenRq
ESC-50,affects,283,14.150000,no
ESC-50,associated with environment,151,7.550000,no
ESC-50,associated with event,129,6.450000,no
ESC-50,belongs to class,125,6.250000,yes
ESC-50,can be heard in,313,15.650000,no
ESC-50,caused by,283,14.150000,no
ESC-50,co-occurs with,209,10.450000,no
ESC-50,described by,211,10.550000,no
ESC-50,emitted by,297,14.850000,no
ESC-50,emotionally associated with,143,7.150000,no
ESC-50,entails event,191,9.550000,no
ESC-50,event composed of,163,8.150000,yes
ESC-50,follows,347,17.350000,no
ESC-50,generated by,173,8.650000,no
ESC-50,has children,209,10.450000,yes
ESC-50,has duration,220,11.000000,no
ESC-50,has loudness,212,10.600000,no
ESC-50,has parent,119,5.950000,yes
ESC-50,has pitch,112,5.600000,no
ESC-50,has sibling,142,7.100000,no
ESC-50,has subtype,265,13.250000,no
ESC-50,has timbre,162,8.100000,no
ESC-50,indicates,202,10.100000,no
ESC-50,invites action,117,5.850000,no
ESC-50,is a type of,454,22.700000,no
ESC-50,is instance of,264,13.200000,no
ESC-50,is sound of,261,13.050000,no
ESC-50,is variant of,356,17.800000,no
ESC-50,linked to visual,159,7.950000,no
ESC-50,localized in,221,11.050000,no
ESC-50,occurs in,282,14.100000,no
ESC-50,originates from,163,8.150000,no
ESC-50,overlaps with,393,19.650000,no
ESC-50,part of scene,243,12.150000,no
ESC-50,perceived as,92,4.600000,yes
ESC-50,performed by,160,8.000000,no
ESC-50,precedes,299,14.950000,no
ESC-50,produced during,167,8.350000,no
ESC-50,produces,297,14.850000,no
ESC-50,requires attention,150,7.500000,no
ESC-50,responds to,224,11.200000,no
ESC-50,scene contains,234,11.700000,no
ESC-50,temporal component of,124,6.200000,no
ESC-50,transcribed as,147,7.350000,no
ESC-50,triggers,191,9.550000,no
ESC-50,used for,200,10.000000,no
ESC-50,warns about,141,7.050000,no
UrbanSound8K,affects,649,7.432432,no
UrbanSound8K,associated with environment,344,3.939533,yes
UrbanSound8K,associated with event,349,3.996793,no
UrbanSound8K,belongs to class,517,5.920751,no
UrbanSound8K,can be heard in,1107,12.677508,no
UrbanSound8K,caused by,794,9.092991,no
UrbanSound8K,co-occurs with,1310,15.002290,no
