dataset,method,Hit@1,Hit@3,Hit@5,MRR
ESC-50,I_iKnow,91.75,97.05,97.65,94.57216097685136
ESC-50,T_AAKV,88.64999999999999,95.89999999999999,97.65,92.63466097685138
ESC-50,F_Fusion,92.85,97.1,97.65,95.1454943101847
ESC-50,S_Selector,93.85,97.05,97.7,95.63299431018473
ESC-50,TF,92.7,97.0,97.65,95.08716097685137
ESC-50,TS,92.85,96.3,97.65,94.89966097685138
ESC-50,FS,93.89999999999999,97.05,97.65,95.6279943101847
ESC-50,TFS_Final,94.25,96.8,97.65,95.75466097685138
UrbanSound8K,I_iKnow,84.88318827301879,96.77049931287219,98.64864864864865,91.07799082375354
UrbanSound8K,T_AAKV,84.51672010994045,96.14063215758131,98.64864864864865,90.59070268816032
UrbanSound8K,F_Fusion,85.02061383417315,96.86211635364178,98.64864864864865,91.18296868296868
UrbanSound8K,S_Selector,85.8337150710032,96.35822262940907,98.64864864864865,91.44216856081263
UrbanSound8K,TF,85.77645442052221,96.56436097114063,98.64864864864865,91.46736324702427
UrbanSound8K,TS,86.9560238204306,96.09482363719651,98.64864864864865,91.86494303019728
UrbanSound8K,FS,85.73064590013743,96.59871736142922,98.64864864864865,91.40170436780606
UrbanSound8K,TFS_Final,87.17361429225836,96.89647274393037,98.64864864864865,92.21766863716016
FSD50K,I_iKnow,59.837748020721335,80.72524679894438,86.51158244550875,71.80177524962457
FSD50K,T_AAKV,61.59710683217672,80.62750464275243,86.46271136741277,72.64522942802824
FSD50K,F_Fusion,60.83471801387938,81.24328022676181,86.6679698954159,72.48974363175726
FSD50K,S_Selector,60.287361939204374,79.96285798064704,86.38451764245919,71.87923495908505
FSD50K,TF,62.71136741276513,81.21395757990422,86.58000195484313,73.47226488022254
FSD50K,TS,64.38275828364773,80.02150327436223,86.41384028931678,73.92303358067358
FSD50K,FS,60.60013683901867,79.67940572769035,86.38451764245919,71.81776741502847
FSD50K,TFS_Final,64.50004887107809,80.57863356465643,86.46271136741277,74.14136925368025
AudioSet,I_iKnow,29.21719955898567,47.043463123077814,54.86566471305054,41.538134138061736
AudioSet,T_AAKV,28.654326002437188,46.730110833865254,54.801833691173904,41.1581077990374
AudioSet,F_Fusion,29.64080543143968,47.478674635873034,55.14420008123948,41.876000893073275
AudioSet,S_Selector,29.872918238263797,46.67788545232983,55.00493239714501,41.773400125399725
AudioSet,TF,29.751059014681136,47.09568850461324,54.92949573492717,41.875957554891535
AudioSet,TS,31.132130215284626,46.48639238669994,54.90048163407416,42.39598842192328
AudioSet,FS,30.029594382870073,46.34132188243487,54.93529855509778,41.778959500608636
AudioSet,TFS_Final,31.306214820402715,46.93320953983636,54.859861892879934,42.569859443747745
TUT2017,I_iKnow,43.6965811965812,79.55128205128204,92.11538461538461,63.71083617237463
TUT2017,T_AAKV,49.401709401709404,78.80341880341881,91.68803418803418,66.33219860623707
TUT2017,F_Fusion,46.34615384615385,79.95726495726497,92.008547008547,65.44015315169162
TUT2017,S_Selector,46.43162393162393,80.38461538461539,92.008547008547,65.25138358792204
TUT2017,TF,51.28205128205128,80.94017094017094,91.58119658119658,67.8646314511699
TUT2017,TS,52.90598290598291,78.88888888888889,91.68803418803418,68.24708464612311
TUT2017,FS,47.32905982905983,80.51282051282051,92.07264957264957,65.53608037261883
TUT2017,TFS_Final,56.36752136752137,80.40598290598291,91.53846153846153,70.4168801284186
MacroMean,I_iKnow,61.8769434098614,80.22809825723529,85.95825608451851,72.54017947213316
MacroMean,T_AAKV,62.56397246925276,79.64033328752356,85.8502455790539,72.67217989966288
MacroMean,F_Fusion,62.93845822512922,80.52826723470831,86.02387312677021,73.22687213393512
MacroMean,S_Selector,63.25512383601906,80.08671628940026,85.94932913935996,73.19583630868084
MacroMean,TF,64.44418642600394,80.56283559916581,85.87786858392312,73.95347562203192
MacroMean,TS,65.64537904506918,79.5583216374295,85.86020095201475,74.26614213115371
MacroMean,FS,63.5178873902172,80.03645309687498,85.93822288377105,73.23250119324935
MacroMean,TFS_Final,66.71947987025212,80.32285975088122,85.83193668948059,75.02008768797162
